ParticipantNumber	Length	US	CS	onset	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
41	153	n46.wav	14.png	110	08.png	0	0	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu9.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	250	n30.wav	04.png	150	04.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	153	n45.wav	14.png	110	14.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	250	p73.wav	51.png	110	51.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	250	p53.wav	51.png	110	51.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	158	neu3.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	250	p36.wav	51.png	110	51.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	n11.wav	04.png	150	04.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
41	153	p73.wav	50.png	110	14.png	0	270	0	methexp32	2016-05-13_12.14.12.228000
41	153	n31.wav	14.png	110	14.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	250	p52.wav	03.png	150	03.png	1	90	0	methexp32	2016-05-13_12.14.12.228000
41	250	p23.wav	51.png	110	51.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	153	n30.wav	14.png	110	14.png	1	90	0	methexp32	2016-05-13_12.14.12.228000
41	152	n11.wav	08.png	110	50.png	0	0	180	methexp32	2016-05-13_12.14.12.228000
41	153	n14.wav	14.png	110	14.png	1	90	0	methexp32	2016-05-13_12.14.12.228000
41	153	n13.wav	14.png	110	14.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
41	250	n13.wav	04.png	150	04.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	250	n45.wav	22.png	110	22.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
41	250	p91.wav	03.png	150	03.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
