ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	correspondingOnset	TrialNr	computerName	timeStamp
45	170	10.948000	14.png	p36.wav	152	110	1	methexp32	2016-05-13_13.55.23.419000
45	130	3.789000	03.png	n50.wav	152	110	2	methexp32	2016-05-13_13.55.23.419000
45	79	4.959000	50.png	p45.wav	250	110	3	methexp32	2016-05-13_13.55.23.419000
45	50	2.979000	22.png	p36.wav	153	110	4	methexp32	2016-05-13_13.55.23.419000
45	11	2.659000	51.png	n31.wav	250	150	5	methexp32	2016-05-13_13.55.23.419000
45	61	3.509000	08.png	p53.wav	250	150	6	methexp32	2016-05-13_13.55.23.419000
45	101	2.539000	20.png	n45.wav	250	110	7	methexp32	2016-05-13_13.55.23.419000
45	120	2.939000	04.png	n25.wav	153	110	8	methexp32	2016-05-13_13.55.23.419000
