ParticipantNumber	Length	US	CS	onset	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
42	158	neu3.wav	MotivationCS33.png	110	MotivationCS33.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	153	p89.wav	22.png	110	03.png	0	180	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu5.wav	MotivationCS33.png	110	MotivationCS33.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	250	p53.wav	08.png	150	08.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	158	neu4.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	250	n14.wav	20.png	110	20.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	158	neu1.wav	MotivationCS27.png	110	MotivationCS27.png	1	180	270	methexp32	2016-05-13_12.14.20.314000
42	250	n40.wav	51.png	150	51.png	1	180	270	methexp32	2016-05-13_12.14.20.314000
42	152	n30.wav	50.png	110	50.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	152	p23.wav	14.png	110	14.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	250	n46.wav	51.png	150	51.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu10.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	153	n11.wav	03.png	110	14.png	0	0	270	methexp32	2016-05-13_12.14.20.314000
42	158	neu8.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	153	p91.wav	22.png	110	22.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	152	p91.wav	14.png	110	03.png	0	90	180	methexp32	2016-05-13_12.14.20.314000
42	152	p73.wav	14.png	110	14.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	250	p73.wav	08.png	150	08.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	p22.wav	04.png	110	04.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	153	n31.wav	03.png	110	03.png	1	0	90	methexp32	2016-05-13_12.14.20.314000
42	250	n50.wav	20.png	110	20.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p22.wav	08.png	150	08.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	152	p52.wav	14.png	110	14.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	250	p21.wav	08.png	150	08.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	153	n46.wav	03.png	110	03.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	250	n31.wav	51.png	150	51.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	250	n13.wav	51.png	150	51.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	153	p52.wav	22.png	110	22.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	250	p45.wav	08.png	150	08.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	152	p45.wav	14.png	110	14.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	152	n11.wav	50.png	110	50.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	153	p53.wav	22.png	110	22.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	250	p89.wav	04.png	110	04.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu7.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	90	methexp32	2016-05-13_12.14.20.314000
42	158	neu8.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	250	n13.wav	20.png	110	20.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	153	p73.wav	22.png	110	22.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	153	n50.wav	03.png	110	03.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	158	neu9.wav	MotivationCS27.png	110	MotivationCS27.png	1	180	270	methexp32	2016-05-13_12.14.20.314000
42	153	p21.wav	22.png	110	22.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	152	n50.wav	50.png	110	14.png	0	180	270	methexp32	2016-05-13_12.14.20.314000
42	153	p23.wav	22.png	110	22.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu6.wav	MotivationCS27.png	110	MotivationCS27.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	n45.wav	20.png	110	20.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	153	p45.wav	22.png	110	22.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	250	p91.wav	04.png	110	04.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p36.wav	04.png	110	20.png	0	90	0	methexp32	2016-05-13_12.14.20.314000
42	152	n25.wav	50.png	110	50.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	158	neu1.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	90	methexp32	2016-05-13_12.14.20.314000
42	158	neu10.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	152	n40.wav	50.png	110	50.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	250	n11.wav	20.png	110	20.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	152	n46.wav	50.png	110	50.png	1	180	270	methexp32	2016-05-13_12.14.20.314000
42	152	n45.wav	50.png	110	22.png	0	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	p23.wav	04.png	110	04.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	250	n46.wav	20.png	110	20.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	152	n13.wav	50.png	110	50.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	n30.wav	20.png	110	20.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	153	n45.wav	03.png	110	03.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	152	p89.wav	14.png	110	14.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	152	p36.wav	14.png	110	14.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	250	n45.wav	51.png	150	51.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	158	neu2.wav	MotivationCS27.png	110	MotivationCS27.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p89.wav	08.png	150	08.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	153	n13.wav	03.png	110	03.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p21.wav	04.png	110	04.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	152	p21.wav	14.png	110	14.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	153	p36.wav	22.png	110	22.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu7.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	158	neu5.wav	MotivationCS27.png	110	MotivationCS27.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	250	p36.wav	08.png	150	08.png	1	90	270	methexp32	2016-05-13_12.14.20.314000
42	250	n25.wav	20.png	110	20.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	152	p53.wav	14.png	110	14.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	250	n40.wav	20.png	110	20.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	p52.wav	08.png	150	08.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu6.wav	MotivationCS33.png	110	MotivationCS33.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	152	n14.wav	50.png	110	50.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	153	n14.wav	03.png	110	03.png	1	270	180	methexp32	2016-05-13_12.14.20.314000
42	250	n14.wav	51.png	150	51.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	153	p22.wav	22.png	110	14.png	0	90	180	methexp32	2016-05-13_12.14.20.314000
42	158	neu9.wav	MotivationCS33.png	110	MotivationCS33.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	250	n11.wav	51.png	150	51.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p53.wav	04.png	110	04.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	153	n40.wav	03.png	110	03.png	1	180	90	methexp32	2016-05-13_12.14.20.314000
42	250	p23.wav	08.png	150	08.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	250	n30.wav	51.png	150	51.png	1	270	90	methexp32	2016-05-13_12.14.20.314000
42	250	p73.wav	04.png	110	04.png	1	0	90	methexp32	2016-05-13_12.14.20.314000
