ParticipantNumber	Length	US	CS	onset	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
42	250	n31.wav	20.png	110	20.png	1	90	180	methexp32	2016-05-13_12.14.20.314000
42	250	p45.wav	04.png	110	04.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu4.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	250	n25.wav	51.png	150	51.png	1	0	270	methexp32	2016-05-13_12.14.20.314000
42	153	n25.wav	03.png	110	14.png	0	90	180	methexp32	2016-05-13_12.14.20.314000
42	152	p22.wav	14.png	110	14.png	1	270	0	methexp32	2016-05-13_12.14.20.314000
42	153	n30.wav	03.png	110	14.png	0	270	90	methexp32	2016-05-13_12.14.20.314000
42	158	neu3.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	250	p91.wav	08.png	150	08.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
42	250	p52.wav	04.png	110	20.png	0	270	180	methexp32	2016-05-13_12.14.20.314000
42	152	n31.wav	50.png	110	50.png	1	180	0	methexp32	2016-05-13_12.14.20.314000
42	158	neu2.wav	MotivationCS33.png	110	MotivationCS33.png	1	90	0	methexp32	2016-05-13_12.14.20.314000
42	250	n50.wav	51.png	150	51.png	1	0	180	methexp32	2016-05-13_12.14.20.314000
