ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	correspondingOnset	TrialNr	computerName	timeStamp
21	70	15.570000	22.png	n40.wav	250	110	1	methexp32	2016-05-12_15.34.23.070000
21	80	2.388000	08.png	n11.wav	250	150	2	methexp32	2016-05-12_15.34.23.070000
21	109	2.677000	51.png	n46.wav	153	110	3	methexp32	2016-05-12_15.34.23.070000
21	43	4.248000	04.png	p21.wav	250	150	4	methexp32	2016-05-12_15.34.23.070000
21	102	2.518000	20.png	p73.wav	152	110	5	methexp32	2016-05-12_15.34.23.070000
21	98	2.498000	14.png	p53.wav	153	110	6	methexp32	2016-05-12_15.34.23.070000
21	125	1.966000	50.png	n11.wav	152	110	7	methexp32	2016-05-12_15.34.23.070000
21	46	1.978000	03.png	p91.wav	250	110	8	methexp32	2016-05-12_15.34.23.070000
