ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	correspondingOnset	TrialNr	computerName	timeStamp
20	180	10.809000	03.png	n30.wav	152	110	1	methexp32	2016-05-12_15.33.32.821000
20	70	5.088000	04.png	p89.wav	250	110	2	methexp32	2016-05-12_15.33.32.821000
20	149	4.040000	51.png	p91.wav	152	110	3	methexp32	2016-05-12_15.33.32.821000
20	183	4.619000	14.png	n30.wav	250	110	4	methexp32	2016-05-12_15.33.32.821000
20	52	3.588000	08.png	n13.wav	250	150	5	methexp32	2016-05-12_15.33.32.821000
20	10	3.609000	22.png	p73.wav	250	150	6	methexp32	2016-05-12_15.33.32.821000
20	190	2.728000	50.png	n30.wav	153	110	7	methexp32	2016-05-12_15.33.32.821000
20	160	2.779000	20.png	p73.wav	153	110	8	methexp32	2016-05-12_15.33.32.821000
