ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	correspondingOnset	TrialNr	computerName	timeStamp
3	100	11.206000	20.png	p52.wav	153	110	1	methexp32	2016-05-12_10.16.34.902000
3	109	3.857000	50.png	p36.wav	152	110	2	methexp32	2016-05-12_10.16.34.902000
3	70	6.438000	08.png	n40.wav	250	110	3	methexp32	2016-05-12_10.16.34.902000
3	41	3.368000	22.png	n50.wav	153	110	4	methexp32	2016-05-12_10.16.34.902000
3	9	3.118000	04.png	n46.wav	250	150	5	methexp32	2016-05-12_10.16.34.902000
3	104	4.137000	03.png	p89.wav	250	150	6	methexp32	2016-05-12_10.16.34.902000
3	109	4.628000	51.png	n40.wav	152	110	7	methexp32	2016-05-12_10.16.34.902000
3	100	1.897000	14.png	p36.wav	250	110	8	methexp32	2016-05-12_10.16.34.902000
