subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn;option_up;option_down;practice;motivation; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;frame_dur
10;1;6;1;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;up;1.740500300002168;1.7414297000068473;97440.298956;3.100009053014219e-06;0.5033925000025192;0.6235482000047341;0.6435264000028837;0.7135552999970969;0.8436379000049783;0.973725400006515;0.01
10;1;6;2;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;down;0.5220782000105828;0.5307306000031531;97442.6029448;2.6000052457675338e-06;0.49635590000252705;0.6164295000053244;0.6364328000054229;0.7064831000025151;0.8365617999952519;0.9666119000030449;0.01
10;1;6;3;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;up;0.34098269999958575;0.3511185999959707;97444.5629305;2.6000052457675338e-06;0.49606170000333805;0.6161399999982677;0.6361616000067443;0.7061782000091625;0.836279299997841;0.9663873999961652;0.01
10;1;6;4;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;down;2.6034684000042034;2.612004299997352;97448.7469105;2.7000060072168708e-06;0.49860580000677146;0.6186747000028845;0.6386832999996841;0.7086960000015097;0.8388259000057587;0.9689119999966351;0.01
10;1;6;5;letter357;letter181;letter357;letter181;1;0;congruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_right.png;down;0.07912929999292828;0.08070930000394583;97450.3949836;2.5000044843181968e-06;0.49649190000491217;0.6165488999977242;0.6365700000023935;0.7066054000024451;0.8366878000088036;0.9667870999983279;0.01
10;1;6;6;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;up;1.659424699988449;1.6605813999922248;97453.6270079;2.5000044843181968e-06;0.49718330000177957;0.6172646000050008;0.637266699995962;0.7073041999974521;0.8373862000007648;0.9675081000023056;0.01
10;1;6;7;letter357;letter181;letter357;letter181;1;0;congruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;up;0.283525799997733;0.2903857000055723;97455.4830841;2.6000052457675338e-06;0.4982105000090087;0.618290700003854;0.6383090000017546;0.7083431000064593;0.8384309999964898;0.9684901000000536;0.01
10;1;6;8;letter357;letter181;letter357;letter181;1;0;congruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;up;0.16598720000183675;0.16947600001003593;97457.2269846;2.7000060072168708e-06;0.49988930000108667;0.6199611000047298;0.6399654999986524;0.7099925000075018;0.8400882999994792;0.9701773999986472;0.01
10;1;6;9;letter357;letter181;letter357;letter181;1;0;congruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_right.png;up;0.025361699998029508;0.030087699997238815;97458.8669468;2.6000052457675338e-06;0.501765000008163;0.6218519000103697;0.6418583000049694;0.7119134000095073;0.841979300006642;0.9720803000091109;0.01
10;1;6;10;letter357;letter181;letter357;letter181;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;down;0.024089600003208034;0.029944200010504574;97460.6669384;5.199995939619839e-06;0.5017612000083318;0.6218217999994522;0.641824300008011;0.7118653000070481;0.8419436999975005;0.9720484999998007;0.01
