subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn;option_up;option_down;practice;motivation; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute;response_target;RT_target;kb_rt_target;response_absolute_target; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;frame_dur
11;1;9;1;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;1.1255565999890678;1.1299590999842621;357086.7545885;m;1.1695020999759436;1.1788992999936454;357087.9304329;2.6999623514711857e-06;0.5040975000010803;0.544108200003393;0.5541250999667682;0.624156599980779;0.754230699967593;0.8843575000064448;0.01
11;1;9;2;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;down;0.7178987999795936;0.7212404999881983;357090.1386518;m;0.8266125000081956;0.8289443000103347;357090.970433;2.700020559132099e-06;0.5011169000063092;0.5411313000367954;0.551132399996277;0.6211812000256032;0.7512320000096224;0.8813575000385754;0.01
11;1;9;3;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;down;0.9577648999984376;0.9604972999659367;357093.4105872;c;0.7872235999675468;0.7889421999570914;357094.2024812;2.6999623514711857e-06;0.4985310999909416;0.5385468999738805;0.5485429999534972;0.618578499997966;0.748663799953647;0.8787808999768458;0.01
11;1;9;4;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.8771458999835886;0.880706200026907;357096.5624277;m;0.8666289999964647;0.8688304999959655;357097.4345569;2.600019797682762e-06;0.5017953999922611;0.5418180999695323;0.5518470000242814;0.6218606000184081;0.7519516000174917;0.8820537999854423;0.01
11;1;9;5;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;1.4290757999988273;1.4311097000027075;357100.3465373;m;0.5584249999956228;0.5605578999966383;357101.1064094;2.800021320581436e-06;0.4945904000196606;0.5346137000015005;0.54460929997731;0.614649900002405;0.7447408000007272;0.8748340000165626;0.01
11;1;9;6;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;down;0.492751199984923;0.49972799996612594;357103.0825605;m;0.5028969999984838;0.5087001000065356;357103.594367;2.700020559132099e-06;0.5039302000077441;0.5439549000002444;0.5539622000069357;0.6239889999851584;0.7540813999949023;0.8841755000175908;0.01
11;1;9;7;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.9636849000235088;0.9714198000147007;357106.0344833;c;0.4623737999936566;0.46791000000666827;357106.5065329;2.6999623514711857e-06;0.5030610999674536;0.5430684999446385;0.5530951999826357;0.6231126999482512;0.7532112999469973;0.8832929999916814;0.01
11;1;9;8;letter181;letter357;letter181;letter357;0;1;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;down;0.6528106000041589;0.6602455000393093;357108.7465055;m;0.5345127999898978;0.5386157999746501;357109.2903938;2.5999615900218487e-06;0.4997780999983661;0.6198403000016697;0.6398518999922089;0.7099004999618046;0.8399686999619007;0.9700853999820538;0.01
11;1;9;9;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.9792935000150464;0.9804428000352345;357111.7545405;m;0.4447890999726951;0.4478617000277154;357112.2024106;2.800021320581436e-06;0.5009746000287123;0.5410130000091158;0.5510286000207998;0.6210482000024058;0.7511523000430316;0.8812304000020958;0.01
11;1;9;10;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.8437644999939948;0.8508854999672621;357114.530809;m;0.44929969997610897;0.4509459999972023;357115.1865443;2.800021320581436e-06;0.5011717000161298;0.5411965000093915;0.5512193000176921;0.6212170000071637;0.7513056000461802;0.8814227000111714;0.01
