subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;RW_dur;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
7;1;1;1;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.788565099996049;0.7910216000163928;267507.1677528;2.9999646358191967e-06;0.4978694000164978;0.5378853000001982;0.5495204000035301;0.6192530000116676;0.8496479999739677;0.8496544999652542;0;0;0;1;0.01
7;1;1;2;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.6745925999712199;0.6801030000206083;267509.33569;3.2999669201672077e-06;0.5011250999523327;0.5411504999501631;0.5532275000005029;0.622898300003726;0.8532964999903925;0.8533163999672979;0;0;0;1;0.01
7;1;1;3;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.9958438000176102;1.0013384000048973;267511.7676588;2.8999638743698597e-06;0.5041139999520965;0.5441333999624476;0.5555571999866515;0.6253364000003785;0.8557170999702066;0.8557238999637775;0;0;0;1;0.01
7;1;1;4;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.75758620002307;0.7600419000373222;267513.9516586;3.100023604929447e-06;0.5033549999934621;0.5433680000132881;0.5554772000177763;0.6253961999900639;0.8546919000218622;0.8546986000146717;0;0;0;1;0.01
7;1;1;5;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.6382756999810226;0.6402761999634095;267516.0237495;2.6999623514711857e-06;0.497114599973429;0.5371269999886863;0.5492248999653384;0.6191411999752745;0.8494259999715723;0.8494329999666661;0;0;0;1;0.01
7;1;1;6;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.7129119000164792;0.7200911000254564;267518.159661;2.7999631129205227e-06;0.49433289997978136;0.5343447999912314;0.5463703999994323;0.6161452999804169;0.8465560000040568;0.8465623999945819;0;0;0;1;0.01
7;1;1;7;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.5874687000177801;0.590439299994614;267520.1756373;3.200024366378784e-06;0.49541299999691546;0.5354356000316329;0.547490100027062;0.6172619999852031;0.8476495000068098;0.8476554999942891;0;0;0;1;0.01
7;1;1;8;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.5881350999698043;0.5905657999683172;267522.2076547;2.800021320581436e-06;0.504253700026311;0.5442795000271872;0.5563731000293046;0.6261452999897301;0.8565285999793559;0.8565350000280887;0;0;0;1;0.01
7;1;1;9;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.5976671000244096;0.6014463000465184;267524.2477601;2.9999646358191967e-06;0.501000499993097;0.541029299958609;0.5523823999683373;0.6230592999490909;0.8524689999758266;0.8524890999542549;0;0;0;1;0.01
7;1;1;10;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.5854418000089936;0.589440600015223;267526.2876272;2.900022082030773e-06;0.4974176000105217;0.5374363000155427;0.5495543000288308;0.6193238000269048;0.8497182999853976;0.8497241999721155;0;0;0;1;0.01
