trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
294,1,cs17.bmp,neu,30,2580.jpg,1000,maske_6.bmp,500,maske_10.bmp,970,2580.jpg,5535.jpg,7080.jpg,7640.jpg,7820.jpg,5510.jpg
48,1,cs14.bmp,pos,30,2150.JPG,1000,maske_3.bmp,500,maske_11.bmp,970,cs14.bmp,cs3.bmp,cs23.bmp,cs24.bmp,cs27.bmp,cs4.bmp
258,1,cs25.bmp,neu,30,7211.jpg,1000,maske_10.bmp,500,maske_5.bmp,970,7000.jpg,7820.jpg,2372.jpg,7211.jpg,1616.jpg,5395.jpg
132,1,cs18.bmp,neg,30,9220.jpg,1000,maske_4.bmp,500,maske_1.bmp,970,cs18.bmp,cs26.bmp,cs1.bmp,cs28.bmp,cs8.bmp,cs29.bmp
240,1,cs28.bmp,neg,900,9290.jpg,1000,maske_4.bmp,500,maske_7.bmp,100,cs15.bmp,cs18.bmp,cs11.bmp,cs28.bmp,cs8.bmp,cs1.bmp
108,1,cs6.bmp,pos,900,2209.jpg,1000,maske_5.bmp,500,maske_10.bmp,100,cs6.bmp,cs14.bmp,cs4.bmp,cs12.bmp,cs3.bmp,cs24.bmp
222,1,cs16.bmp,neg,900,2750.jpg,1000,maske_11.bmp,500,maske_2.bmp,100,cs8.bmp,cs22.bmp,cs19.bmp,cs18.bmp,cs16.bmp,cs1.bmp
192,1,cs11.bmp,neg,30,9415.jpg,1000,maske_4.bmp,500,maske_6.bmp,970,cs22.bmp,cs15.bmp,cs2.bmp,cs11.bmp,cs28.bmp,cs29.bmp
246,1,cs25.bmp,neu,30,5740.jpg,1000,maske_4.bmp,500,maske_8.bmp,970,5740.jpg,2575.jpg,7490.jpg,7503.JPG,1313.jpg,7820.jpg
336,1,cs9.bmp,neu,900,7004.jpg,1000,maske_10.bmp,500,maske_5.bmp,100,7550.jpg,7820.jpg,5731.jpg,7004.jpg,7090.jpg,5920.JPG
