phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,184,24.png,extinction,positive,3
globalratings,184,4.png,neutral,extinction,15
globalratings,184,1.png,neutral,extinction,17
globalratings,184,5.png,extinction,negative,16
globalratings,184,9.png,negative,extinction,16
globalratings,184,18.png,extinction,neutral,11
globalratings,184,11.png,extinction,neutral,9
globalratings,184,14.png,extinction,positive,2
globalratings,184,23.png,positive,extinction,15
globalratings,184,17.png,negative,extinction,0
globalratings,184,3.png,positive,extinction,4
globalratings,184,10.png,extinction,neutral,2
globalratings,184,21.png,extinction,positive,0
globalratings,184,12.png,positive,extinction,12
globalratings,184,20.png,extinction,negative,9
globalratings,184,7.png,negative,extinction,16
globalratings,184,26.png,neutral,extinction,1
globalratings,184,8.png,extinction,negative,6
c2ratings,184,10.png,extinction,neutral,7
c2ratings,184,17.png,negative,extinction,6
c2ratings,184,12.png,positive,extinction,13
c2ratings,184,26.png,neutral,extinction,3
c2ratings,184,18.png,extinction,neutral,9
c2ratings,184,24.png,extinction,positive,3
c2ratings,184,7.png,negative,extinction,14
c2ratings,184,23.png,positive,extinction,13
c2ratings,184,9.png,negative,extinction,13
c2ratings,184,20.png,extinction,negative,7
c2ratings,184,14.png,extinction,positive,4
c2ratings,184,3.png,positive,extinction,5
c2ratings,184,5.png,extinction,negative,12
c2ratings,184,21.png,extinction,positive,0
c2ratings,184,11.png,extinction,neutral,7
c2ratings,184,1.png,neutral,extinction,17
c2ratings,184,8.png,extinction,negative,6
c2ratings,184,4.png,neutral,extinction,11
c1ratings,184,5.png,extinction,negative,16
c1ratings,184,11.png,extinction,neutral,5
c1ratings,184,17.png,negative,extinction,6
c1ratings,184,1.png,neutral,extinction,17
c1ratings,184,26.png,neutral,extinction,1
c1ratings,184,18.png,extinction,neutral,13
c1ratings,184,3.png,positive,extinction,11
c1ratings,184,24.png,extinction,positive,1
c1ratings,184,12.png,positive,extinction,15
c1ratings,184,10.png,extinction,neutral,7
c1ratings,184,7.png,negative,extinction,12
c1ratings,184,8.png,extinction,negative,5
c1ratings,184,21.png,extinction,positive,0
c1ratings,184,4.png,neutral,extinction,12
c1ratings,184,20.png,extinction,negative,14
c1ratings,184,14.png,extinction,positive,14
c1ratings,184,9.png,negative,extinction,15
c1ratings,184,23.png,positive,extinction,13
