phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,228,12.png,positive,extinction,17
globalratings,228,10.png,extinction,positive,5
globalratings,228,24.png,neutral,extinction,15
globalratings,228,3.png,extinction,negative,5
globalratings,228,4.png,neutral,extinction,2
globalratings,228,26.png,extinction,negative,9
globalratings,228,14.png,negative,extinction,7
globalratings,228,11.png,positive,extinction,5
globalratings,228,23.png,neutral,extinction,15
globalratings,228,21.png,negative,extinction,11
globalratings,228,1.png,positive,extinction,7
globalratings,228,20.png,extinction,neutral,5
globalratings,228,7.png,extinction,neutral,13
globalratings,228,9.png,extinction,positive,11
globalratings,228,8.png,extinction,neutral,6
globalratings,228,18.png,extinction,positive,9
globalratings,228,5.png,extinction,negative,16
globalratings,228,17.png,negative,extinction,7
c2ratings,228,23.png,neutral,extinction,15
c2ratings,228,1.png,positive,extinction,5
c2ratings,228,24.png,neutral,extinction,17
c2ratings,228,4.png,neutral,extinction,3
c2ratings,228,20.png,extinction,neutral,2
c2ratings,228,14.png,negative,extinction,8
c2ratings,228,10.png,extinction,positive,6
c2ratings,228,17.png,negative,extinction,7
c2ratings,228,18.png,extinction,positive,10
c2ratings,228,26.png,extinction,negative,4
c2ratings,228,7.png,extinction,neutral,12
c2ratings,228,11.png,positive,extinction,7
c2ratings,228,3.png,extinction,negative,7
c2ratings,228,9.png,extinction,positive,15
c2ratings,228,12.png,positive,extinction,17
c2ratings,228,5.png,extinction,negative,13
c2ratings,228,21.png,negative,extinction,10
c2ratings,228,8.png,extinction,neutral,7
c1ratings,228,4.png,neutral,extinction,12
c1ratings,228,11.png,positive,extinction,11
c1ratings,228,1.png,positive,extinction,6
c1ratings,228,5.png,extinction,negative,14
c1ratings,228,3.png,extinction,negative,7
c1ratings,228,18.png,extinction,positive,8
c1ratings,228,12.png,positive,extinction,14
c1ratings,228,9.png,extinction,positive,11
c1ratings,228,23.png,neutral,extinction,16
c1ratings,228,24.png,neutral,extinction,17
c1ratings,228,17.png,negative,extinction,8
c1ratings,228,20.png,extinction,neutral,8
c1ratings,228,21.png,negative,extinction,10
c1ratings,228,14.png,negative,extinction,7
c1ratings,228,26.png,extinction,negative,11
c1ratings,228,8.png,extinction,neutral,2
c1ratings,228,10.png,extinction,positive,6
c1ratings,228,7.png,extinction,neutral,12
