phase,subject_nr,block,trial,cond_order,repetition,valence,trial_type,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,212,1,1,2,1,negative,acquisition,2750.JPG,14.png,0,None,None,None,None
trials,212,1,2,2,1,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,212,1,3,2,NA,NA,NA,empty.png,9561.JPG,0,None,None,None,None
trials,212,1,4,2,1,positive,extinction,empty.png,23.png,0,None,None,None,None
trials,212,1,5,2,1,negative,extinction,empty.png,1.png,0,None,None,None,None
trials,212,1,6,2,NA,NA,NA,22.png,15.png,0,None,None,None,None
trials,212,1,7,2,1,neutral,acquisition,7080.JPG,11.png,0,None,None,None,None
trials,212,1,8,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,9,2,2,neutral,acquisition,7080.JPG,11.png,0,None,None,None,None
trials,212,1,10,2,NA,NA,NA,2357.JPG,empty.png,0,None,None,None,None
trials,212,1,11,2,1,neutral,extinction,empty.png,5.png,0,None,None,None,None
trials,212,1,12,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,13,2,1,positive,acquisition,1590.JPG,3.png,0,None,None,None,None
trials,212,1,14,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,212,1,15,2,2,negative,acquisition,2750.JPG,14.png,0,None,None,None,None
trials,212,1,16,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,17,2,1,positive,acquisition,1620.JPG,18.png,0,None,None,None,None
trials,212,1,18,2,1,positive,extinction,empty.png,24.png,0,None,None,None,None
trials,212,1,19,2,2,neutral,extinction,empty.png,5.png,0,None,None,None,None
trials,212,1,20,2,1,neutral,acquisition,7000.JPG,17.png,0,None,None,None,None
trials,212,1,21,2,NA,NA,NA,25.png,empty.png,0,None,None,None,None
trials,212,1,22,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,23,2,2,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,212,1,24,2,1,negative,acquisition,2753.JPG,10.png,0,None,None,None,None
trials,212,1,25,2,2,positive,acquisition,1590.JPG,3.png,0,None,None,None,None
trials,212,1,26,2,NA,NA,NA,22.png,15.png,0,None,None,None,None
trials,212,1,27,2,NA,NA,NA,2.png,13.png,0,None,None,None,None
trials,212,1,28,2,NA,NA,NA,16.png,6.png,0,None,None,None,None
trials,212,1,29,2,NA,NA,NA,2310.JPG,1390.JPG,0,None,None,None,None
trials,212,1,30,2,1,neutral,acquisition,7090.JPG,20.png,0,None,None,None,None
trials,212,1,31,2,1,neutral,extinction,empty.png,21.png,0,None,None,None,None
trials,212,1,32,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,33,2,1,positive,extinction,empty.png,9.png,0,None,None,None,None
trials,212,1,34,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,35,2,2,neutral,acquisition,7090.JPG,20.png,0,None,None,None,None
trials,212,1,36,2,2,neutral,extinction,empty.png,21.png,0,None,None,None,None
trials,212,1,37,2,2,positive,extinction,empty.png,24.png,0,None,None,None,None
trials,212,1,38,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,39,2,3,positive,extinction,empty.png,24.png,0,None,None,None,None
trials,212,1,40,2,NA,NA,NA,empty.png,9561.JPG,0,None,None,None,None
trials,212,1,41,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,42,2,NA,NA,NA,2520.JPG,1670.JPG,0,None,None,None,None
trials,212,1,43,2,NA,NA,NA,16.png,6.png,0,None,None,None,None
trials,212,1,44,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,45,2,1,negative,acquisition,2900.1.JPG,12.png,0,None,None,None,None
trials,212,1,46,2,2,positive,extinction,empty.png,23.png,0,None,None,None,None
trials,212,1,47,2,2,neutral,acquisition,7000.JPG,17.png,0,None,None,None,None
trials,212,1,48,2,1,negative,extinction,empty.png,7.png,0,None,None,None,None
trials,212,1,49,2,NA,NA,NA,2304.JPG,8500.JPG,0,None,None,None,None
trials,212,1,50,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,51,2,3,positive,acquisition,1590.JPG,3.png,0,None,None,None,None
trials,212,1,52,2,3,positive,extinction,empty.png,23.png,0,None,None,None,None
trials,212,1,53,2,NA,NA,NA,7060.JPG,2510.JPG,0,None,None,None,None
trials,212,1,54,2,2,positive,extinction,empty.png,9.png,0,None,None,None,None
trials,212,1,55,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,212,1,56,2,3,negative,acquisition,2750.JPG,14.png,0,None,None,None,None
trials,212,1,57,2,NA,NA,NA,2357.JPG,empty.png,0,None,None,None,None
trials,212,1,58,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,59,2,1,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,212,1,60,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,212,1,61,2,2,negative,extinction,empty.png,1.png,0,None,None,None,None
trials,212,1,62,2,NA,NA,NA,27.png,empty.png,0,None,None,None,None
trials,212,1,63,2,NA,NA,NA,empty.png,1275.JPG,0,None,None,None,None
trials,212,1,64,2,NA,NA,NA,empty.png,19.png,0,None,None,None,space
trials,212,1,65,2,1,positive,acquisition,1610.JPG,26.png,0,None,None,None,None
