sid,bid,tid,stimulus_location,response_location,response_time,response_deadline,error
10,1,1,1,,,0.7,
10,1,2,6,,,0.7,
10,1,3,3,3,0.478155199973844,0.7,0
10,1,4,2,,,0.7,
10,1,5,6,6,0.4259026000043377,0.7,0
10,1,6,2,,,0.7,
10,1,7,6,6,0.42606660003075375,0.7,0
10,1,8,5,6,0.4029542999458499,0.7,1
10,1,9,1,3,0.4516346000134945,0.7,1
10,1,10,5,6,0.37889490004163234,0.7,1
10,1,11,1,,,0.7,
10,1,12,3,,,0.7,
10,1,13,4,4,0.4760408999980427,0.7,0
10,1,14,1,,,0.7,
10,1,15,3,3,0.4011555000441149,0.7,0
10,1,16,4,4,0.45011950000189244,0.7,0
10,1,17,3,3,0.40885720001533626,0.7,0
10,1,18,4,4,0.3510210999636911,0.7,0
10,1,19,3,3,0.33380309999920427,0.7,0
10,1,20,4,4,0.33009490005206316,0.7,0
10,1,21,2,3,0.32319909998914226,0.7,1
10,1,22,6,4,0.36148029997712,0.7,1
10,1,23,4,,,0.7,
10,1,24,1,,,0.7,
10,1,25,2,3,0.4632840000092983,0.7,1
10,1,26,3,4,0.4287555999588221,0.7,1
10,1,27,4,6,0.4820525000221096,0.7,1
10,1,28,2,3,0.38167310000862925,0.7,1
10,1,29,6,6,0.4283625999931246,0.7,0
10,1,30,5,4,0.3784276999766007,0.7,1
10,1,31,1,3,0.4102530000498518,0.7,1
10,1,32,2,,,0.7,
10,1,33,6,6,0.3672250000061467,0.7,0
10,1,34,3,3,0.4989735999959521,0.7,0
10,1,35,4,3,0.5061644999776036,0.7,1
10,1,36,1,,,0.7,
10,1,37,2,3,0.4019840000080876,0.7,1
10,1,38,6,,,0.7,
10,1,39,4,4,0.32806869999039917,0.7,0
10,1,40,6,5,0.35913810001220553,0.7,1
10,1,41,1,3,0.3040937999729067,0.7,1
10,1,42,2,4,0.2950360999791883,0.7,1
10,1,43,6,,,0.7,
10,1,44,5,,,0.7,
10,1,45,3,,,0.7,
10,1,46,6,1,0.10271930003073065,0.7,1
10,1,47,3,2,-0.16994829998584465,0.7,1
10,1,48,5,6,0.3517188999801874,0.7,1
10,1,49,1,1,0.274650299991481,0.7,0
10,1,50,2,4,0.18518500002101063,0.7,1
10,1,51,4,4,0.2473532999982126,0.7,0
10,1,52,1,2,0.2604426000150852,0.7,1
10,1,53,2,1,0.2028923999867402,0.7,1
10,1,54,6,2,0.1287129999953322,0.7,1
10,1,55,3,4,-0.11714809997938574,0.7,1
10,1,56,6,,,0.7,
10,1,57,5,6,0.31885110000148414,0.7,1
10,1,58,6,6,0.37311409997055306,0.7,0
10,1,59,1,1,0.31141560001997276,0.7,0
10,1,60,4,4,0.3047196000232361,0.7,0
10,1,61,3,3,0.41001970001962035,0.7,0
10,1,62,6,2,0.2022205999935977,0.7,1
10,1,63,1,6,0.061345100007019926,0.7,1
10,1,64,2,2,0.09726629995275288,0.7,0
10,1,65,5,4,0.014831800025422115,0.7,1
10,1,66,1,3,0.18740000000689178,0.7,1
10,1,67,2,1,-0.08189880002755673,0.7,1
10,1,68,3,1,0.2697481999755837,0.7,1
10,1,69,5,2,0.3583934999885969,0.7,1
10,1,70,4,4,0.04605389998760073,0.7,0
10,1,71,1,2,0.31169680000748484,0.7,1
10,1,72,6,4,0.1791250000358559,0.7,1
10,1,73,5,6,0.04949620000552385,0.7,1
10,1,74,3,6,0.0733561000204645,0.7,1
10,1,75,5,4,0.03929190001217647,0.7,1
10,1,76,4,4,0.3537054000305943,0.7,0
10,1,77,1,3,0.338677699980326,0.7,1
10,1,78,3,2,0.20457139996578916,0.7,1
10,1,79,4,4,0.33937820001738145,0.7,0
10,1,80,1,1,0.28779189999913796,0.7,0
10,1,81,6,4,0.310073600045871,0.7,1
10,1,82,5,6,-0.08481350004440175,0.7,1
10,1,83,4,4,0.4228999000159092,0.7,0
10,1,84,6,6,0.3307732000364922,0.7,0
10,1,85,2,2,0.3582313000340946,0.7,0
10,1,86,5,4,0.39799699997529386,0.7,1
10,1,87,3,6,0.23272170005366205,0.7,1
10,1,88,4,6,0.36510100001469253,0.7,1
10,1,89,1,2,0.3747814999776892,0.7,1
10,1,90,6,6,0.3263684000237845,0.7,0
10,1,91,5,6,0.3787794000352733,0.7,1
10,1,92,6,2,0.34699239996261894,0.7,1
10,1,93,4,4,0.15449170001083984,0.7,0
10,1,94,1,4,0.504469699994661,0.7,1
10,1,95,2,1,0.14806249995017423,0.7,1
10,1,96,6,2,0.006228099996224035,0.7,1
10,1,97,5,6,0.3741375000216067,0.7,1
10,1,98,1,,,0.7,
10,1,99,5,4,0.4068775000167079,0.7,1
10,1,100,3,4,0.4219017999828793,0.7,1
10,1,101,4,4,0.4304742000065744,0.7,0
10,1,102,1,2,0.4448222000035457,0.7,1
10,1,103,2,5,0.3259643999743275,0.7,1
10,1,104,1,2,0.29548639997374265,0.7,1
10,1,105,4,5,0.2975709999562241,0.7,1
10,1,106,3,6,0.414304999995511,0.7,1
10,1,107,6,,,0.7,
10,1,108,2,5,-0.13430229998193682,0.7,1
10,1,109,6,6,0.36363879999844356,0.7,0
10,1,110,4,2,0.47808520002290605,0.7,1
10,1,111,1,1,0.38852889999980106,0.7,0
10,1,112,3,2,0.4725361000280827,0.7,1
10,1,113,2,1,0.49336809997912495,0.7,1
10,1,114,5,5,0.4907410999992862,0.7,0
10,1,115,3,2,0.4307756000314839,0.7,1
10,1,116,4,,,0.7,
10,1,117,1,,,0.7,
10,1,118,2,2,0.3535798000055365,0.7,0
10,1,119,6,,,0.7,
10,1,120,1,1,0.40078619996784254,0.7,0
10,1,121,4,6,0.36639409996569156,0.7,1
10,1,122,5,6,0.36053369998699053,0.7,1
10,1,123,4,2,0.29152540002251043,0.7,1
10,1,124,3,4,0.17856069998815655,0.7,1
10,1,125,1,1,0.4590508000226691,0.7,0
10,1,126,2,4,0.5000433999928646,0.7,1
10,1,127,6,2,0.13061090001137926,0.7,1
10,1,128,5,6,-0.05021450003841893,0.7,1
10,1,129,3,2,0.346284599986393,0.7,1
10,1,130,4,6,0.35981599999358876,0.7,1
10,1,131,1,2,0.36410979997599496,0.7,1
10,1,132,4,4,0.4055613000062294,0.7,0
10,1,133,2,2,0.3237124999985099,0.7,0
10,1,134,5,6,0.4453023999929428,0.7,1
10,1,135,3,2,0.375129900011234,0.7,1
10,1,136,5,6,0.45825600002426653,0.7,1
10,1,136,5,5,0.458359199995175,0.7,0
10,1,137,3,2,0.3058759999810718,0.7,1
10,1,138,5,6,0.3260332000325434,0.7,1
10,1,139,6,6,0.34406980000203474,0.7,0
10,1,140,5,6,0.43473119999980553,0.7,1
10,1,141,3,,,0.7,
10,1,142,6,,,0.7,
10,1,143,5,6,0.3812164000235498,0.7,1
10,1,144,1,2,0.33845540003385394,0.7,1
10,2,145,5,6,0.29730329995509236,0.7,1
10,2,146,2,2,0.2630343000171706,0.7,0
10,2,147,1,2,0.31846170000499113,0.7,1
10,2,148,2,2,0.2772446000133641,0.7,0
10,2,149,4,5,0.3437942000571638,0.7,1
10,2,150,1,2,0.2609187999740243,0.7,1
10,2,151,2,2,0.3122725000255741,0.7,0
10,2,152,6,5,0.3542051000520587,0.7,1
10,2,153,4,5,0.4004576000268571,0.7,1
10,2,154,1,1,0.32329560002544894,0.7,0
10,2,155,4,4,0.41632380000082775,0.7,0
10,2,156,1,2,0.2638248999835923,0.7,1
10,2,157,5,2,0.17963380001019685,0.7,1
10,2,158,3,5,0.14980840003117918,0.7,1
10,2,159,5,2,0.20806270000757648,0.7,1
10,2,160,6,3,0.13168790000490843,0.7,1
10,2,161,5,4,0.27027609997894614,0.7,1
10,2,162,2,5,0.11217239995021372,0.7,1
10,2,163,6,2,0.18313210004707797,0.7,1
10,2,164,1,4,0.5006865000003018,0.7,1
10,2,165,2,2,0.325941000028979,0.7,0
10,2,166,1,3,0.1673525999765843,0.7,1
10,2,167,2,1,0.1087445999844931,0.7,1
10,2,168,3,4,0.12188010000390931,0.7,1
10,2,169,6,2,0.090151999972295,0.7,1
10,2,170,5,5,0.22126289999578147,0.7,0
10,2,171,2,3,0.24715710001764818,0.7,1
10,2,172,4,4,-0.08237569999182598,0.7,0
10,2,173,1,2,0.42291600002208724,0.7,1
10,2,174,5,5,0.40748780000722035,0.7,0
10,2,175,3,3,0.41627399997087194,0.7,0
10,2,176,4,4,0.44241720002610235,0.7,0
10,2,177,1,1,0.44193889999296515,0.7,0
10,2,178,2,2,0.32986710000550373,0.7,0
10,2,179,6,4,0.3373954999959096,0.7,1
10,2,180,5,5,0.13003099996130912,0.7,0
10,2,181,3,4,0.3196477999561466,0.7,1
10,2,182,5,3,0.20775030001532285,0.7,1
10,2,183,4,4,0.04056820000987499,0.7,0
10,2,184,3,,,0.7,
10,2,185,2,3,0.4054919999442063,0.7,1
10,2,186,6,5,0.3523814000189304,0.7,1
10,2,187,2,,,0.7,
10,2,188,6,2,0.16547010001959278,0.7,1
