id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,lüß,züffel,Vorcocktig,Leine,Mirgt,STRAßE,new,l,l,1,5832
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,Pöle,Frühstück,fasenfach,BLUT,new,l,l,1,3427
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,doo,zapparkt,Pronisse,Fuß,Neg,FUß,target,a,a,1,2054
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,Dampor,Strokhayn,ron,See,schwalk,SCHULE,new,l,l,1,2587
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,Fleihe,Gäsel,Stich,zeger,NADEL,lure,l,l,1,2526
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,vorfats,eser,Lüße,Hose,tebizyn,RIECHEN,new,l,l,1,2050
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,zokig,användig,Plöte,Stuhl,hoogogei,STUHL,target,a,a,1,1614
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,heche,Äsee,Moral,waßt,MORAL,target,a,a,1,1377
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,Essid,Ärger,kakin,ÄRGER,target,a,a,1,875
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,Schlell,petther,Diamant,Blässigheit,DIAMANT,target,a,a,1,826
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,triewen,Furxe,Vogel,zerufs,FLIEGEN,lure,l,l,1,2662
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,zwelell,Armband,Hou,UHR,lure,l,l,1,2652
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,Schimer,Krankenhaus,pasigheiten,LANGSAM,new,l,l,1,2262
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,Dür,krang,Trett,weich,kland,WEICH,target,l,a,0,2660
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,Sirn,Mais,dere,REIS,lure,l,l,1,3805
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,eufen,Augen,Zühne,BLÜTE,new,l,l,1,4586
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,Teamhoven,abnum,Strohhalm,kurien,TASSE,lure,l,l,1,3048
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,arkkes,Tasten,Sünguts,KLAVIER,lure,l,l,1,2604
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,ehrsand,Hawl,kokker,Bier,Kohr,ALKOHOL,lure,l,l,1,1202
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,getlen,müde,Henk,SCHLAF,lure,l,l,1,1279
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,Graxier,frostig,lengmam,FENSTER,new,l,l,1,1374
12,18,male,german,right,ok,,Jura,drm,250,0,1,5,Diese,Züle,fasenrach,Arbeit,zommel,BERG,new,l,l,1,2392
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,gritz,äsfretze,Lampe,Stißt,LAMPE,target,a,a,1,1406
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,hok,lefen,bitter,Lüsrer,SÜß,lure,l,l,1,1762
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,Aild,söde,Löwe,Strokhaph,LÖWE,target,a,a,1,1118
12,18,male,german,right,ok,,Jura,drm,250,0,1,3,,,teloktekagen,Geländewagen,Krienel,TELEFON,new,l,l,1,1718
12,18,male,german,right,ok,,Jura,drm,250,0,1,4,,neife,rat,Rauch,Wieme,RAUCH,target,a,a,1,1220
12,18,male,german,right,ok,,Jura,words,250,0,2,3,,,Phemoo,Wasserstoff,rasserstawk,KIRCHE,new,l,l,1,1425
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,Arkgand,sivargi,Hering,Bralks,FORELLE,lure,l,l,1,857
12,18,male,german,right,ok,,Jura,words,250,0,2,5,gogs,Vichenbooge,Zohlspiegel,Hemd,Knürenzen,BRANDENBURG,new,l,l,1,1281
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,Lünrer,drolling,Karotten,Peugerg,TOMATEN,lure,l,l,1,859
12,18,male,german,right,ok,,Jura,words,250,0,2,5,Larürfe,Hona,jalf,Buch,herl,BUCH,target,a,a,1,1043
12,18,male,german,right,ok,,Jura,words,250,0,2,5,Schüfernung,Tirts,Herfuß,Ameise,quiblat,WESPE,lure,l,l,1,1633
12,18,male,german,right,ok,,Jura,words,250,0,2,3,,,Kodlenstühr,Brieföffner,sufmimonchen,GESAMTSCHULE,new,l,l,1,1627
12,18,male,german,right,ok,,Jura,words,250,0,2,5,Reiwel,Drüte,vehr,Yacht,Pratflugs,BRAHMS,new,a,l,0,4185
12,18,male,german,right,ok,,Jura,words,250,0,2,3,,,kasel,Vater,Ämel,VATER,target,a,a,1,857
12,18,male,german,right,ok,,Jura,words,250,0,2,3,,,Knürenten,Rumba,schom,CHACHACHA,lure,l,l,1,1613
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,kümig,meger,Säge,Jarb,LUNGE,new,l,l,1,2046
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,Füngt,zokau,Apfel,zarsche,BIRNE,lure,l,l,1,1144
12,18,male,german,right,ok,,Jura,words,250,0,2,5,holialler,Nosute,Mamburs,Röteln,Nawafe,MASERN,lure,l,l,1,875
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,fodaufe,Karu,Bonbons,zierenn,BASTELN,new,a,l,0,1419
12,18,male,german,right,ok,,Jura,words,250,0,2,5,throller,spraßelhahn,Fuha,Computer,Nibkadel,MEER,new,l,l,1,1377
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,zäger,macal,Hören,Eittibeter,HÖREN,target,a,a,1,964
12,18,male,german,right,ok,,Jura,words,250,0,2,4,,Fuha,schralze,Pizza,neden,TAXI,new,l,l,1,1265
