ParticipantNumber	Item	Block	Reponse	ReactionTime
22	9290.jpg	1	9	10.320817
22	1274.jpg	1	9	3.183598
22	9830.jpg	1	6	5.886208
22	9320.jpg	1	9	2.750032
22	9330.jpg	1	8	6.406184
22	3550.jpg	1	9	2.196725
22	9042.jpg	1	9	1.870833
22	1019.jpg	1	7	13.959183
22	9301.jpg	1	9	1.567089
22	2095.jpg	1	9	1.452089
22	1310.jpg	1	8	4.805869
22	9040.jpg	1	9	2.105297
22	9571.jpg	1	9	3.324753
22	2981.jpg	1	9	1.788608
22	9592.jpg	1	5	4.095150
22	9300.jpg	1	9	1.303556
22	9008.jpg	1	9	4.231110
22	1945.jpg	1	7	4.818243
22	9330.jpg	2	3	10.555825
22	2095.jpg	2	1	5.838734
22	9320.jpg	2	9	1.565376
22	9042.jpg	2	1	2.921850
22	9571.jpg	2	6	3.902185
22	9008.jpg	2	9	1.633169
22	1019.jpg	2	5	3.935981
22	9830.jpg	2	5	4.557267
22	1274.jpg	2	9	1.462781
22	9040.jpg	2	1	7.148691
22	1310.jpg	2	5	5.016308
22	9290.jpg	2	7	3.284473
22	9301.jpg	2	9	0.959349
22	9592.jpg	2	2	1.849265
22	9300.jpg	2	9	0.658407
22	2981.jpg	2	9	1.919995
22	1945.jpg	2	8	2.202995
22	3550.jpg	2	9	1.076004
22	9290.jpg	3	9	0.796373
22	3550.jpg	3	9	5.136326
22	9300.jpg	3	9	0.708404
22	9320.jpg	3	9	0.574816
22	1274.jpg	3	9	0.598954
22	2095.jpg	3	9	1.518888
22	9571.jpg	3	9	3.238920
22	9830.jpg	3	9	0.610908
22	9301.jpg	3	9	0.612976
22	9330.jpg	3	9	0.576135
22	9040.jpg	3	9	0.351978
22	9592.jpg	3	9	0.507035
22	1945.jpg	3	9	5.044928
22	2981.jpg	3	9	0.806700
22	1019.jpg	3	9	1.710354
22	9008.jpg	3	9	0.715570
22	1310.jpg	3	9	0.833351
22	9042.jpg	3	9	0.269397
22	9040.jpg	4	1	4.201166
22	9290.jpg	4	5	2.313148
22	9330.jpg	4	5	0.281764
22	9830.jpg	4	5	0.319541
22	9571.jpg	4	5	0.021217
22	9301.jpg	4	9	0.767548
22	1274.jpg	4	9	0.303162
22	3550.jpg	4	9	0.542615
22	1310.jpg	4	9	1.571004
22	9008.jpg	4	5	1.789208
22	9300.jpg	4	9	0.688025
22	1945.jpg	4	9	0.833045
22	9320.jpg	4	5	2.183222
22	1019.jpg	4	9	1.807826
22	2981.jpg	4	9	0.668214
22	9042.jpg	4	9	1.057473
22	2095.jpg	4	9	1.423489
22	9592.jpg	4	3	1.502659
22	9592.jpg	5	1	4.427630
22	1310.jpg	5	9	1.649107
22	2981.jpg	5	9	1.354465
22	9301.jpg	5	9	0.973059
22	9330.jpg	5	9	1.337004
22	9008.jpg	5	9	1.885349
22	3550.jpg	5	1	1.210826
22	9830.jpg	5	1	3.476535
22	9290.jpg	5	9	1.377481
22	9571.jpg	5	1	1.050306
22	1945.jpg	5	1	1.750660
22	9300.jpg	5	9	0.750777
22	1019.jpg	5	9	2.184145
22	9042.jpg	5	1	1.741596
22	9320.jpg	5	1	4.637590
22	2095.jpg	5	1	0.912048
22	1274.jpg	5	1	1.216810
22	9040.jpg	5	9	1.529505
22	9290.jpg	6	9	8.156937
22	1310.jpg	6	5	1.835221
22	1945.jpg	6	6	1.431479
22	2981.jpg	6	9	15.956917
22	1019.jpg	6	9	1.990696
22	9830.jpg	6	1	1.019140
22	9592.jpg	6	1	1.039025
22	9330.jpg	6	1	3.098098
22	9320.jpg	6	1	1.105261
22	2095.jpg	6	1	1.078319
22	9040.jpg	6	9	1.570779
22	9300.jpg	6	9	0.757902
22	9301.jpg	6	1	0.975889
22	3550.jpg	6	1	3.087147
22	9571.jpg	6	1	0.718758
22	9042.jpg	6	1	0.635347
22	1274.jpg	6	1	0.587737
22	9008.jpg	6	1	0.365479
22	1274.jpg	7	8	2.885860
22	3550.jpg	7	7	2.736578
22	9042.jpg	7	8	1.613554
22	9320.jpg	7	1	0.815408
22	9040.jpg	7	8	0.698743
22	1019.jpg	7	1	0.358889
22	9592.jpg	7	8	0.404950
22	9300.jpg	7	3	0.544020
22	9330.jpg	7	8	0.274789
22	2095.jpg	7	7	0.057105
22	2981.jpg	7	8	0.055812
22	1945.jpg	7	8	0.080125
22	9830.jpg	7	8	0.149256
22	9571.jpg	7	8	0.357332
22	9290.jpg	7	8	0.232085
22	9301.jpg	7	1	0.368859
22	1310.jpg	7	8	0.413551
22	9008.jpg	7	8	0.087190
