ParticipantNumber	Item	Block	Reponse	ReactionTime
20	1310.jpg	1	2	6.186434
20	9042.jpg	1	1	1.305938
20	2095.jpg	1	3	1.740727
20	9830.jpg	1	4	2.294995
20	9301.jpg	1	1	1.455738
20	9330.jpg	1	2	1.273625
20	9592.jpg	1	1	0.715146
20	3550.jpg	1	1	0.565328
20	1274.jpg	1	2	2.224920
20	9008.jpg	1	1	1.974147
20	9040.jpg	1	1	1.060621
20	9290.jpg	1	4	1.348293
20	9300.jpg	1	2	1.871211
20	9571.jpg	1	1	0.690416
20	9320.jpg	1	2	1.181762
20	1019.jpg	1	3	2.240810
20	2981.jpg	1	1	0.850799
20	1945.jpg	1	2	0.837106
20	9300.jpg	2	9	1.979556
20	9301.jpg	2	9	1.520337
20	9042.jpg	2	9	1.470485
20	1310.jpg	2	9	1.703678
20	9830.jpg	2	8	1.147571
20	1274.jpg	2	7	0.900360
20	1945.jpg	2	7	1.043204
20	2095.jpg	2	6	2.526389
20	3550.jpg	2	8	1.433752
20	9008.jpg	2	8	1.128393
20	9330.jpg	2	7	0.954739
20	9571.jpg	2	9	0.774709
20	9040.jpg	2	8	1.046635
20	9290.jpg	2	7	1.459701
20	1019.jpg	2	7	1.454173
20	9592.jpg	2	9	0.645625
20	2981.jpg	2	8	0.870984
20	9320.jpg	2	8	0.994707
20	1310.jpg	3	6	6.406756
20	9830.jpg	3	4	2.723989
20	3550.jpg	3	7	1.616074
20	9042.jpg	3	8	1.152419
20	9330.jpg	3	7	1.913107
20	9571.jpg	3	8	0.889353
20	1019.jpg	3	3	3.115595
20	2095.jpg	3	4	2.551959
20	9320.jpg	3	6	1.581301
20	9301.jpg	3	7	1.045769
20	9290.jpg	3	7	0.734368
20	9300.jpg	3	8	0.900752
20	1274.jpg	3	7	0.622305
20	9040.jpg	3	8	1.624296
20	9592.jpg	3	9	1.191381
20	2981.jpg	3	9	1.226823
20	1945.jpg	3	2	1.581267
20	9008.jpg	3	6	2.249058
20	9008.jpg	4	3	2.214194
20	9290.jpg	4	1	1.934204
20	9042.jpg	4	7	1.371397
20	9300.jpg	4	8	1.523563
20	1310.jpg	4	7	2.306650
20	2095.jpg	4	1	1.388258
20	1945.jpg	4	1	1.087282
20	9320.jpg	4	7	1.512891
20	9571.jpg	4	7	1.053967
20	1274.jpg	4	7	1.677190
20	1019.jpg	4	5	2.216714
20	9301.jpg	4	6	1.495145
20	9330.jpg	4	1	1.478106
20	9040.jpg	4	8	2.606410
20	9830.jpg	4	2	1.581515
20	9592.jpg	4	9	0.398900
20	2981.jpg	4	9	0.947027
20	3550.jpg	4	8	2.309621
20	9300.jpg	5	1	2.559705
20	9330.jpg	5	1	1.130109
20	3550.jpg	5	1	0.640511
20	9301.jpg	5	1	0.714341
20	9040.jpg	5	1	0.456207
20	9592.jpg	5	1	0.621801
20	9042.jpg	5	1	0.566345
20	9830.jpg	5	1	0.793830
20	9571.jpg	5	1	0.528744
20	1945.jpg	5	9	1.803052
20	2981.jpg	5	1	1.124844
20	2095.jpg	5	1	0.650637
20	9008.jpg	5	1	0.548481
20	1274.jpg	5	1	1.739126
20	1019.jpg	5	9	1.412663
20	9290.jpg	5	1	1.168809
20	1310.jpg	5	9	1.128478
20	9320.jpg	5	1	1.576131
20	1945.jpg	6	4	1.702494
20	9008.jpg	6	1	0.734235
20	9330.jpg	6	1	0.821947
20	9592.jpg	6	1	1.204398
20	1274.jpg	6	1	3.315812
20	9571.jpg	6	1	1.103330
20	9290.jpg	6	1	0.747854
20	9040.jpg	6	1	0.496358
20	2981.jpg	6	1	0.637267
20	9301.jpg	6	1	0.476133
20	9042.jpg	6	1	0.384540
20	2095.jpg	6	1	0.342081
20	9320.jpg	6	1	0.487202
20	3550.jpg	6	1	0.402553
20	9300.jpg	6	1	0.396917
20	9830.jpg	6	1	0.430324
20	1019.jpg	6	6	1.939056
20	1310.jpg	6	1	0.625583
20	1945.jpg	7	3	3.822720
20	1310.jpg	7	4	1.464242
20	9040.jpg	7	9	1.474728
20	9290.jpg	7	9	1.201540
20	9830.jpg	7	9	0.763831
20	2981.jpg	7	9	2.308034
20	9301.jpg	7	9	4.809166
20	9330.jpg	7	9	0.742264
20	1019.jpg	7	8	1.753207
20	9008.jpg	7	1	1.928091
20	9320.jpg	7	9	1.550704
20	9042.jpg	7	1	1.871496
20	9592.jpg	7	1	0.844527
20	1274.jpg	7	1	1.215262
20	3550.jpg	7	1	0.653243
20	9300.jpg	7	1	0.926885
20	2095.jpg	7	1	0.933197
20	9571.jpg	7	1	0.688943
