ParticipantNumber	Item	Block	Reponse	ReactionTime
23	9301.jpg	1	1	1.997595
23	9008.jpg	1	1	2.318308
23	1310.jpg	1	2	3.623301
23	9571.jpg	1	1	1.989217
23	9300.jpg	1	1	0.751641
23	9592.jpg	1	5	4.632696
23	9830.jpg	1	3	2.302515
23	2981.jpg	1	1	2.110998
23	9320.jpg	1	1	0.915903
23	1945.jpg	1	3	3.044645
23	2095.jpg	1	3	2.143555
23	9042.jpg	1	1	1.601450
23	1274.jpg	1	3	2.286830
23	9330.jpg	1	3	3.407303
23	9040.jpg	1	1	1.278729
23	9290.jpg	1	1	1.150589
23	1019.jpg	1	3	2.249263
23	3550.jpg	1	3	1.902681
23	1019.jpg	2	6	6.418361
23	9042.jpg	2	8	1.602555
23	1274.jpg	2	7	1.350579
23	2981.jpg	2	9	1.026304
23	9040.jpg	2	9	1.666973
23	9571.jpg	2	7	2.767446
23	9330.jpg	2	7	1.043521
23	2095.jpg	2	7	1.162956
23	9008.jpg	2	8	1.172281
23	1945.jpg	2	5	1.855734
23	9290.jpg	2	8	0.930277
23	9830.jpg	2	6	2.230014
23	9301.jpg	2	9	0.744012
23	9300.jpg	2	9	0.486755
23	1310.jpg	2	7	1.307063
23	9320.jpg	2	9	0.653157
23	3550.jpg	2	9	0.563165
23	9592.jpg	2	1	2.149200
23	9300.jpg	3	2	2.649427
23	9040.jpg	3	7	3.325216
23	9008.jpg	3	1	1.273155
23	9320.jpg	3	1	1.008032
23	9042.jpg	3	5	1.205537
23	3550.jpg	3	8	1.152269
23	9290.jpg	3	4	3.147061
23	9592.jpg	3	3	3.659001
23	9571.jpg	3	5	1.373674
23	2095.jpg	3	7	2.455835
23	9301.jpg	3	1	1.545062
23	1019.jpg	3	4	1.082017
23	9830.jpg	3	2	5.472848
23	2981.jpg	3	9	3.170865
23	1945.jpg	3	4	2.026673
23	1274.jpg	3	2	1.493910
23	9330.jpg	3	5	1.570063
23	1310.jpg	3	7	1.766920
23	9300.jpg	4	3	2.826983
23	9571.jpg	4	6	1.886910
23	9830.jpg	4	3	1.309033
23	3550.jpg	4	8	1.676281
23	9330.jpg	4	3	1.667759
23	9040.jpg	4	9	1.027387
23	9008.jpg	4	2	1.289004
23	9320.jpg	4	2	1.430232
23	9592.jpg	4	1	2.078112
23	2981.jpg	4	9	1.441651
23	9290.jpg	4	2	1.339128
23	1945.jpg	4	7	4.294760
23	9301.jpg	4	1	1.046660
23	1019.jpg	4	6	1.926988
23	1274.jpg	4	5	2.132259
23	9042.jpg	4	5	2.430685
23	2095.jpg	4	6	1.498400
23	1310.jpg	4	7	1.853612
23	9300.jpg	5	1	0.891327
23	9592.jpg	5	3	3.772103
23	9320.jpg	5	1	4.074665
23	9008.jpg	5	1	0.486856
23	9830.jpg	5	1	0.610667
23	9301.jpg	5	1	0.508884
23	9040.jpg	5	9	1.994084
23	1310.jpg	5	9	2.171441
23	2981.jpg	5	1	1.719552
23	9330.jpg	5	1	1.880094
23	2095.jpg	5	7	2.734265
23	1274.jpg	5	5	1.429749
23	1019.jpg	5	9	1.368975
23	3550.jpg	5	4	2.598315
23	1945.jpg	5	9	1.598559
23	9290.jpg	5	6	2.696980
23	9571.jpg	5	1	1.295509
23	9042.jpg	5	1	0.989143
23	9300.jpg	6	1	1.520592
23	3550.jpg	6	1	0.819767
23	1019.jpg	6	4	2.935556
23	9008.jpg	6	1	0.658670
23	1274.jpg	6	5	1.137358
23	1310.jpg	6	1	0.759151
23	9592.jpg	6	1	0.754541
23	1945.jpg	6	4	1.629916
23	9301.jpg	6	1	0.518259
23	9830.jpg	6	1	0.731208
23	9320.jpg	6	1	0.594051
23	9571.jpg	6	1	0.843363
23	9290.jpg	6	1	2.216715
23	9040.jpg	6	1	1.037501
23	2095.jpg	6	1	1.176146
23	9330.jpg	6	7	2.304135
23	2981.jpg	6	6	1.949646
23	9042.jpg	6	1	0.859113
23	9330.jpg	7	9	1.356582
23	1310.jpg	7	6	1.642718
23	9571.jpg	7	5	2.204566
23	9290.jpg	7	9	1.067152
23	3550.jpg	7	9	0.664085
23	9042.jpg	7	8	1.918733
23	9320.jpg	7	9	1.317043
23	1019.jpg	7	6	5.340443
23	9301.jpg	7	9	1.063857
23	9830.jpg	7	9	0.920172
23	9040.jpg	7	9	0.681987
23	1274.jpg	7	1	1.295662
23	2095.jpg	7	9	1.073839
23	2981.jpg	7	9	0.764001
23	9592.jpg	7	5	1.517971
23	1945.jpg	7	1	1.131167
23	9300.jpg	7	9	1.308573
23	9008.jpg	7	9	0.472034
