ECOsub3 [07-2012]
999   0   0
 22   2   1   1 SDF
Liste
Liste[i].wort, Liste[i].istwort,  Liste[i].istpositiv, uspositiv, istmaskiert
 dann 5x: Liste[i].us[j]
 dann: 3x Liste[i].liking[j]
  0  pimuide   0  -1   0   0  14  13  21   3   2 -1  -1  -1
  1   nalber   0  -1   0   0  12  20  10  18   7 -1  -1  -1
  2    medan   0  -1   0   0   4   1  15   9   8 -1  -1  -1
  3   ubajec   0  -1   0   0   5  24  17   6  16 -1  -1  -1
  4   jaciyn   0  -1   0   0  22  23   0  11  19 -1  -1  -1
  5  laumens   0  -1   0   0  14   6   3  18  21 -1  -1  -1
  6    tewok   0  -1   0   1  16   2  23   9  13 -1  -1  -1
  7  sleshen   0  -1   0   1  12   5   8  24  15 -1  -1  -1
  8  kiwehon   0  -1   0   1  10   1  22  11  19 -1  -1  -1
  9    yosud   0  -1   0   1  17   4  20   0   7 -1  -1  -1
 10    frask   0  -1   0   1   5  19  16   0  13 -1  -1  -1
 11  permife   0  -1   0   1   6  15  14   8  10 -1  -1  -1
 12   hiwawa   0  -1   1   0   0   1  21  16  23 -1  -1  -1
 13  hilejin   0  -1   1   0  20  19   2   9  14 -1  -1  -1
 14  umeuken   0  -1   1   0   5   6  18  24  17 -1  -1  -1
 15    obacu   0  -1   1   0  13   3  11   8   4 -1  -1  -1
 16  molkate   0  -1   1   0  12  15  10  22   7 -1  -1  -1
 17  larnist   0  -1   1   0  20  15   5  18  17 -1  -1  -1
 18  furasti   0  -1   1   1  23  19  24   7  14 -1  -1  -1
 19   schese   0  -1   1   1   6  13   1   0   8 -1  -1  -1
 20    botsy   0  -1   1   1  22   4   9  16   2 -1  -1  -1
 21    noste   0  -1   1   1   3  21  10  11  12 -1  -1  -1
 22   uwimor   0  -1   1   1   3  19  24   5   7 -1  -1  -1
 23   botuyn   0  -1   1   1   8  13  15  11  20 -1  -1  -1
CSs
positiv, cs, Liste[positiv*5+cs].wort, fn
  0   0 pimuide 
  0   1 nalber 
  0   2 medan 
  0   3 ubajec 
  0   4 jaciyn 
  1   0 laumens 
  1   1 tewok 
  1   2 sleshen 
  1   3 kiwehon 
  1   4 yosud 
US-Bilder
cs, Liste[cs].wort, istpositiv, usnr, Liste[cs].us[us], fn
  0 pimuide   0   0  14 c:\stim\ecopd1\bild/neg (15)s (Large).bmp
  0 pimuide   0   1  13 c:\stim\ecopd1\bild/neg (14)s (Large).bmp
  0 pimuide   0   2  21 c:\stim\ecopd1\bild/neg (22)s (Large).bmp
  0 pimuide   0   3   3 c:\stim\ecopd1\bild/neg (4)s (Large).bmp
  0 pimuide   0   4   2 c:\stim\ecopd1\bild/neg (3)s (Large).bmp
  1 nalber   0   0  12 c:\stim\ecopd1\bild/neg (13)s (Large).bmp
  1 nalber   0   1  20 c:\stim\ecopd1\bild/neg (21)s (Large).bmp
  1 nalber   0   2  10 c:\stim\ecopd1\bild/neg (11)s (Large).bmp
  1 nalber   0   3  18 c:\stim\ecopd1\bild/neg (19)s (Large).bmp
  1 nalber   0   4   7 c:\stim\ecopd1\bild/neg (8)s (Large).bmp
  2 medan   0   0   4 c:\stim\ecopd1\bild/neg (5)s (Large).bmp
  2 medan   0   1   1 c:\stim\ecopd1\bild/neg (2)s (Large).bmp
  2 medan   0   2  15 c:\stim\ecopd1\bild/neg (16)s (Large).bmp
  2 medan   0   3   9 c:\stim\ecopd1\bild/neg (10)s (Large).bmp
  2 medan   0   4   8 c:\stim\ecopd1\bild/neg (9)s (Large).bmp
  3 ubajec   0   0   5 c:\stim\ecopd1\bild/neg (6)s (Large).bmp
  3 ubajec   0   1  24 c:\stim\ecopd1\bild/neg (25)s (Large).bmp
  3 ubajec   0   2  17 c:\stim\ecopd1\bild/neg (18)s (Large).bmp
  3 ubajec   0   3   6 c:\stim\ecopd1\bild/neg (7)s (Large).bmp
  3 ubajec   0   4  16 c:\stim\ecopd1\bild/neg (17)s (Large).bmp
  4 jaciyn   0   0  22 c:\stim\ecopd1\bild/neg (23)s (Large).bmp
  4 jaciyn   0   1  23 c:\stim\ecopd1\bild/neg (24)s (Large).bmp
  4 jaciyn   0   2   0 c:\stim\ecopd1\bild/neg (1)s (Large).bmp
  4 jaciyn   0   3  11 c:\stim\ecopd1\bild/neg (12)s (Large).bmp
  4 jaciyn   0   4  19 c:\stim\ecopd1\bild/neg (20)s (Large).bmp
  5 laumens   0   0  14 c:\stim\ecopd1\bild/neg (15)s (Large).bmp
