ParticipantNumber	likingRating	likingRT	SoundOfStimulus	computerName	timeStamp	TrialNr
7	83	4.798000	58_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	1
7	129	3.646000	6_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	2
7	112	4.866000	6_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	3
7	81	6.681000	58_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	4
7	96	4.319000	45_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	5
7	135	7.940000	61_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	6
7	57	2.942000	55_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	7
7	40	4.000000	60_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	8
7	126	9.048000	46_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	9
7	70	3.957000	53_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	10
7	29	4.099000	59_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	11
7	119	3.326000	59_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	12
7	140	3.104000	61_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	13
7	115	3.366000	53_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	14
7	76	3.622000	42_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	15
7	142	3.562000	42_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	16
7	114	2.806000	6_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	17
7	143	3.620000	46_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	18
7	65	3.205000	42_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	19
7	154	3.814000	46_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	20
7	52	3.045000	60_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	21
7	57	3.102000	55_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	22
7	128	3.565000	45_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	23
7	160	4.405000	59_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	24
7	64	3.022000	45_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	25
7	49	3.882000	58_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	26
7	46	3.288000	6_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	27
7	38	3.931000	53_pain.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	28
7	113	3.852000	61_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	29
7	37	3.062000	60_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	30
7	135	7.159000	46_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	31
7	32	4.259000	60_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	32
7	150	7.732000	53_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	33
7	33	3.072000	45_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	34
7	141	3.193000	61_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	35
7	133	3.164000	55_happiness.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	36
7	137	2.501000	59_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	37
7	60	2.465000	58_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	38
7	67	2.662000	55_pleasure.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	39
7	45	3.860000	42_anger.wav	Lehrelaptop2	2016-03-31_12.53.04.465000	40
