ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
22	200	32.681000	33.png	1	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	13.978000	3.png	2	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	16.687000	40.png	3	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	12.709000	8.png	4	Lehrelaptop2	2016-03-31_16.04.56.251000
22	0	8.506000	20.png	5	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	8.125000	28.png	6	Lehrelaptop2	2016-03-31_16.04.56.251000
22	0	6.211000	52.png	7	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	8.048000	42.png	8	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	5.579000	54.png	9	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	6.142000	27.png	10	Lehrelaptop2	2016-03-31_16.04.56.251000
22	0	6.229000	15.png	11	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	5.214000	4.png	12	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	5.313000	6.png	13	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	7.173000	50.png	14	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	6.907000	14.png	15	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	5.867000	1.png	16	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	4.823000	22.png	17	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	5.862000	51.png	18	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	4.438000	56.png	19	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	4.736000	55.png	20	Lehrelaptop2	2016-03-31_16.04.56.251000
22	199	6.494000	43.png	21	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	5.855000	53.png	22	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	5.938000	5.png	23	Lehrelaptop2	2016-03-31_16.04.56.251000
22	200	4.777000	7.png	24	Lehrelaptop2	2016-03-31_16.04.56.251000
