ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
1	144	3.576000	50.png	1	Lehrelaptop2	2016-03-31_11.03.09.622000
1	147	3.357000	5.png	2	Lehrelaptop2	2016-03-31_11.03.09.622000
1	105	4.162000	43.png	3	Lehrelaptop2	2016-03-31_11.03.09.622000
1	86	5.576000	22.png	4	Lehrelaptop2	2016-03-31_11.03.09.622000
1	126	3.562000	1.png	5	Lehrelaptop2	2016-03-31_11.03.09.622000
1	111	2.578000	7.png	6	Lehrelaptop2	2016-03-31_11.03.09.622000
1	151	2.515000	42.png	7	Lehrelaptop2	2016-03-31_11.03.09.622000
1	98	2.474000	27.png	8	Lehrelaptop2	2016-03-31_11.03.09.622000
1	96	2.256000	54.png	9	Lehrelaptop2	2016-03-31_11.03.09.622000
1	113	2.515000	55.png	10	Lehrelaptop2	2016-03-31_11.03.09.622000
1	132	4.298000	28.png	11	Lehrelaptop2	2016-03-31_11.03.09.622000
1	104	3.834000	33.png	12	Lehrelaptop2	2016-03-31_11.03.09.622000
1	96	2.858000	8.png	13	Lehrelaptop2	2016-03-31_11.03.09.622000
1	74	2.945000	15.png	14	Lehrelaptop2	2016-03-31_11.03.09.622000
1	125	5.435000	20.png	15	Lehrelaptop2	2016-03-31_11.03.09.622000
1	75	2.809000	4.png	16	Lehrelaptop2	2016-03-31_11.03.09.622000
1	132	2.483000	6.png	17	Lehrelaptop2	2016-03-31_11.03.09.622000
1	104	2.109000	40.png	18	Lehrelaptop2	2016-03-31_11.03.09.622000
1	96	3.088000	53.png	19	Lehrelaptop2	2016-03-31_11.03.09.622000
1	117	6.705000	14.png	20	Lehrelaptop2	2016-03-31_11.03.09.622000
1	115	6.627000	52.png	21	Lehrelaptop2	2016-03-31_11.03.09.622000
1	99	3.396000	3.png	22	Lehrelaptop2	2016-03-31_11.03.09.622000
1	143	5.014000	51.png	23	Lehrelaptop2	2016-03-31_11.03.09.622000
1	104	2.297000	56.png	24	Lehrelaptop2	2016-03-31_11.03.09.622000
