ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
19	40	19.961000	27.png	1	Lehrelaptop2	2016-03-31_15.10.43.690000
19	19	7.178000	54.png	2	Lehrelaptop2	2016-03-31_15.10.43.690000
19	91	4.745000	55.png	3	Lehrelaptop2	2016-03-31_15.10.43.690000
19	119	6.420000	8.png	4	Lehrelaptop2	2016-03-31_15.10.43.690000
19	149	4.407000	1.png	5	Lehrelaptop2	2016-03-31_15.10.43.690000
19	91	3.783000	4.png	6	Lehrelaptop2	2016-03-31_15.10.43.690000
19	108	3.782000	3.png	7	Lehrelaptop2	2016-03-31_15.10.43.690000
19	90	4.049000	5.png	8	Lehrelaptop2	2016-03-31_15.10.43.690000
19	60	5.483000	15.png	9	Lehrelaptop2	2016-03-31_15.10.43.690000
19	129	3.295000	7.png	10	Lehrelaptop2	2016-03-31_15.10.43.690000
19	52	3.581000	28.png	11	Lehrelaptop2	2016-03-31_15.10.43.690000
19	190	4.185000	52.png	12	Lehrelaptop2	2016-03-31_15.10.43.690000
19	170	3.771000	50.png	13	Lehrelaptop2	2016-03-31_15.10.43.690000
19	139	3.271000	56.png	14	Lehrelaptop2	2016-03-31_15.10.43.690000
19	91	2.625000	14.png	15	Lehrelaptop2	2016-03-31_15.10.43.690000
19	69	3.159000	20.png	16	Lehrelaptop2	2016-03-31_15.10.43.690000
19	150	3.230000	33.png	17	Lehrelaptop2	2016-03-31_15.10.43.690000
19	80	2.676000	40.png	18	Lehrelaptop2	2016-03-31_15.10.43.690000
19	198	4.730000	43.png	19	Lehrelaptop2	2016-03-31_15.10.43.690000
19	142	3.338000	22.png	20	Lehrelaptop2	2016-03-31_15.10.43.690000
19	98	2.944000	42.png	21	Lehrelaptop2	2016-03-31_15.10.43.690000
19	148	3.787000	53.png	22	Lehrelaptop2	2016-03-31_15.10.43.690000
19	81	3.153000	51.png	23	Lehrelaptop2	2016-03-31_15.10.43.690000
19	149	4.413000	6.png	24	Lehrelaptop2	2016-03-31_15.10.43.690000
