ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
9	90	16.990000	5.png	1	Lehrelaptop2	2016-03-31_13.11.42.268000
9	100	9.727000	51.png	2	Lehrelaptop2	2016-03-31_13.11.42.268000
9	104	8.644000	53.png	3	Lehrelaptop2	2016-03-31_13.11.42.268000
9	80	8.711000	3.png	4	Lehrelaptop2	2016-03-31_13.11.42.268000
9	137	6.967000	33.png	5	Lehrelaptop2	2016-03-31_13.11.42.268000
9	44	5.448000	8.png	6	Lehrelaptop2	2016-03-31_13.11.42.268000
9	136	4.611000	54.png	7	Lehrelaptop2	2016-03-31_13.11.42.268000
9	64	4.518000	50.png	8	Lehrelaptop2	2016-03-31_13.11.42.268000
9	42	4.849000	14.png	9	Lehrelaptop2	2016-03-31_13.11.42.268000
9	153	4.326000	43.png	10	Lehrelaptop2	2016-03-31_13.11.42.268000
9	6	4.205000	40.png	11	Lehrelaptop2	2016-03-31_13.11.42.268000
9	46	3.630000	55.png	12	Lehrelaptop2	2016-03-31_13.11.42.268000
9	63	4.521000	42.png	13	Lehrelaptop2	2016-03-31_13.11.42.268000
9	160	4.302000	1.png	14	Lehrelaptop2	2016-03-31_13.11.42.268000
9	115	3.843000	20.png	15	Lehrelaptop2	2016-03-31_13.11.42.268000
9	28	4.360000	56.png	16	Lehrelaptop2	2016-03-31_13.11.42.268000
9	83	3.148000	52.png	17	Lehrelaptop2	2016-03-31_13.11.42.268000
9	45	3.381000	15.png	18	Lehrelaptop2	2016-03-31_13.11.42.268000
9	97	4.221000	28.png	19	Lehrelaptop2	2016-03-31_13.11.42.268000
9	47	2.940000	6.png	20	Lehrelaptop2	2016-03-31_13.11.42.268000
9	93	3.207000	4.png	21	Lehrelaptop2	2016-03-31_13.11.42.268000
9	143	5.704000	22.png	22	Lehrelaptop2	2016-03-31_13.11.42.268000
9	33	4.057000	7.png	23	Lehrelaptop2	2016-03-31_13.11.42.268000
9	8	4.029000	27.png	24	Lehrelaptop2	2016-03-31_13.11.42.268000
