ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
26	78	8.721000	15.png	1	Lehrelaptop2	2016-03-31_16.36.46.396000
26	101	3.716000	40.png	2	Lehrelaptop2	2016-03-31_16.36.46.396000
26	135	2.813000	51.png	3	Lehrelaptop2	2016-03-31_16.36.46.396000
26	141	2.462000	1.png	4	Lehrelaptop2	2016-03-31_16.36.46.396000
26	97	2.451000	20.png	5	Lehrelaptop2	2016-03-31_16.36.46.396000
26	171	3.226000	43.png	6	Lehrelaptop2	2016-03-31_16.36.46.396000
26	176	3.137000	27.png	7	Lehrelaptop2	2016-03-31_16.36.46.396000
26	132	1.836000	3.png	8	Lehrelaptop2	2016-03-31_16.36.46.396000
26	115	2.470000	7.png	9	Lehrelaptop2	2016-03-31_16.36.46.396000
26	150	2.703000	42.png	10	Lehrelaptop2	2016-03-31_16.36.46.396000
26	56	2.633000	28.png	11	Lehrelaptop2	2016-03-31_16.36.46.396000
26	63	2.393000	52.png	12	Lehrelaptop2	2016-03-31_16.36.46.396000
26	29	3.209000	50.png	13	Lehrelaptop2	2016-03-31_16.36.46.396000
26	66	2.291000	54.png	14	Lehrelaptop2	2016-03-31_16.36.46.396000
26	48	2.954000	4.png	15	Lehrelaptop2	2016-03-31_16.36.46.396000
26	94	3.078000	14.png	16	Lehrelaptop2	2016-03-31_16.36.46.396000
26	74	2.724000	8.png	17	Lehrelaptop2	2016-03-31_16.36.46.396000
26	24	3.256000	22.png	18	Lehrelaptop2	2016-03-31_16.36.46.396000
26	88	3.113000	56.png	19	Lehrelaptop2	2016-03-31_16.36.46.396000
26	100	2.175000	5.png	20	Lehrelaptop2	2016-03-31_16.36.46.396000
26	82	2.390000	53.png	21	Lehrelaptop2	2016-03-31_16.36.46.396000
26	120	2.298000	6.png	22	Lehrelaptop2	2016-03-31_16.36.46.396000
26	2	6.247000	33.png	23	Lehrelaptop2	2016-03-31_16.36.46.396000
26	38	2.895000	55.png	24	Lehrelaptop2	2016-03-31_16.36.46.396000
