ParticipantNumber	likingRating	likingRT	SoundOfStimulus	computerName	timeStamp	TrialNr
20	48	4.224000	58_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	1
20	94	4.247000	46_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	2
20	84	2.493000	55_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	3
20	56	3.166000	61_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	4
20	133	3.842000	6_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	5
20	41	3.265000	59_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	6
20	80	4.126000	55_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	7
20	65	2.816000	6_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	8
20	38	3.226000	45_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	9
20	70	2.029000	42_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	10
20	53	2.569000	6_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	11
20	31	3.007000	46_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	12
20	128	3.269000	60_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	13
20	87	5.031000	61_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	14
20	19	3.527000	45_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	15
20	68	5.702000	55_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	16
20	82	5.053000	45_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	17
20	16	3.327000	46_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	18
20	84	3.467000	58_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	19
20	97	2.763000	42_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	20
20	58	3.128000	58_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	21
20	34	2.928000	60_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	22
20	44	3.065000	55_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	23
20	82	2.330000	42_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	24
20	54	2.706000	45_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	25
20	83	2.440000	6_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	26
20	60	2.200000	60_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	27
20	40	2.888000	59_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	28
20	43	2.828000	60_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	29
20	26	2.853000	59_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	30
20	14	3.805000	53_pain.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	31
20	24	5.945000	46_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	32
20	85	2.044000	42_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	33
20	23	3.244000	61_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	34
20	88	3.205000	53_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	35
20	86	4.011000	53_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	36
20	22	5.149000	53_anger.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	37
20	93	3.970000	58_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	38
20	65	3.006000	61_pleasure.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	39
20	93	7.691000	59_happiness.wav	Lehrelaptop2	2016-03-31_15.31.25.293000	40
