ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
20	22	6.601000	52.png	1	Lehrelaptop2	2016-03-31_15.31.25.293000
20	96	3.753000	3.png	2	Lehrelaptop2	2016-03-31_15.31.25.293000
20	47	4.000000	33.png	3	Lehrelaptop2	2016-03-31_15.31.25.293000
20	141	3.875000	6.png	4	Lehrelaptop2	2016-03-31_15.31.25.293000
20	58	3.223000	56.png	5	Lehrelaptop2	2016-03-31_15.31.25.293000
20	48	3.960000	55.png	6	Lehrelaptop2	2016-03-31_15.31.25.293000
20	122	4.588000	43.png	7	Lehrelaptop2	2016-03-31_15.31.25.293000
20	117	2.910000	14.png	8	Lehrelaptop2	2016-03-31_15.31.25.293000
20	58	3.691000	28.png	9	Lehrelaptop2	2016-03-31_15.31.25.293000
20	47	3.452000	20.png	10	Lehrelaptop2	2016-03-31_15.31.25.293000
20	39	3.960000	42.png	11	Lehrelaptop2	2016-03-31_15.31.25.293000
20	48	3.170000	7.png	12	Lehrelaptop2	2016-03-31_15.31.25.293000
20	47	2.566000	15.png	13	Lehrelaptop2	2016-03-31_15.31.25.293000
20	89	2.436000	22.png	14	Lehrelaptop2	2016-03-31_15.31.25.293000
20	24	3.429000	27.png	15	Lehrelaptop2	2016-03-31_15.31.25.293000
20	67	4.916000	5.png	16	Lehrelaptop2	2016-03-31_15.31.25.293000
20	81	3.393000	4.png	17	Lehrelaptop2	2016-03-31_15.31.25.293000
20	89	3.167000	1.png	18	Lehrelaptop2	2016-03-31_15.31.25.293000
20	48	4.375000	51.png	19	Lehrelaptop2	2016-03-31_15.31.25.293000
20	42	5.207000	53.png	20	Lehrelaptop2	2016-03-31_15.31.25.293000
20	49	3.148000	8.png	21	Lehrelaptop2	2016-03-31_15.31.25.293000
20	50	3.139000	50.png	22	Lehrelaptop2	2016-03-31_15.31.25.293000
20	43	3.211000	54.png	23	Lehrelaptop2	2016-03-31_15.31.25.293000
20	38	2.429000	40.png	24	Lehrelaptop2	2016-03-31_15.31.25.293000
