ParticipantNumber	likingRating	likingRT	SoundOfStimulus	computerName	timeStamp	TrialNr
18	124	4.871000	55_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	1
18	75	4.212000	42_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	2
18	170	3.746000	59_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	3
18	112	4.532000	53_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	4
18	18	8.092000	58_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	5
18	69	3.707000	6_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	6
18	126	4.153000	55_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	7
18	84	4.052000	53_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	8
18	160	3.415000	59_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	9
18	72	2.936000	53_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	10
18	83	2.423000	58_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	11
18	51	3.158000	45_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	12
18	118	2.677000	6_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	13
18	130	2.619000	61_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	14
18	80	3.766000	53_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	15
18	81	5.185000	6_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	16
18	79	2.660000	55_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	17
18	69	4.552000	60_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	18
18	106	3.188000	42_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	19
18	177	3.839000	46_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	20
18	148	2.837000	46_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	21
18	172	3.592000	45_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	22
18	100	2.819000	60_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	23
18	197	3.955000	46_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	24
18	173	3.738000	61_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	25
18	143	2.861000	60_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	26
18	77	3.336000	42_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	27
18	118	5.402000	58_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	28
18	82	2.721000	58_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	29
18	83	2.862000	6_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	30
18	92	2.632000	59_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	31
18	120	3.778000	45_happiness.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	32
18	143	4.605000	42_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	33
18	141	3.298000	61_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	34
18	130	4.361000	61_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	35
18	120	3.730000	60_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	36
18	110	3.038000	55_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	37
18	123	4.645000	46_pain.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	38
18	159	3.754000	45_pleasure.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	39
18	157	2.589000	59_anger.wav	Lehrelaptop2	2016-03-31_15.04.21.542000	40
