ParticipantNumber	likingRating	likingRT	SoundOfStimulus	computerName	timeStamp	TrialNr
25	60	3.450000	46_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	1
25	48	3.126000	58_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	2
25	65	4.272000	53_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	3
25	140	3.601000	6_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	4
25	68	3.000000	59_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	5
25	38	2.962000	61_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	6
25	189	3.418000	59_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	7
25	66	2.366000	55_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	8
25	76	2.497000	60_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	9
25	198	3.224000	61_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	10
25	121	2.896000	58_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	11
25	126	3.574000	42_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	12
25	129	3.360000	6_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	13
25	7	3.742000	46_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	14
25	130	4.275000	60_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	15
25	159	5.299000	6_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	16
25	151	3.006000	58_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	17
25	123	3.240000	42_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	18
25	138	3.578000	55_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	19
25	79	2.300000	60_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	20
25	111	2.511000	6_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	21
25	89	3.939000	45_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	22
25	75	3.809000	45_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	23
25	178	3.539000	60_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	24
25	60	4.492000	53_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	25
25	157	3.359000	58_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	26
25	109	3.960000	59_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	27
25	126	5.444000	53_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	28
25	76	2.503000	45_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	29
25	2	3.535000	45_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	30
25	105	4.123000	59_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	31
25	74	2.159000	55_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	32
25	6	3.100000	53_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	33
25	125	3.419000	46_happiness.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	34
25	44	2.279000	42_pain.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	35
25	134	2.682000	55_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	36
25	150	2.846000	42_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	37
25	5	2.676000	46_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	38
25	85	4.252000	61_pleasure.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	39
25	19	2.500000	61_anger.wav	Lehrelaptop2	2016-03-31_16.30.40.119000	40
