ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
4	42	8.019000	27.png	1	Lehrelaptop2	2016-03-31_12.32.26.891000
4	89	5.465000	40.png	2	Lehrelaptop2	2016-03-31_12.32.26.891000
4	84	5.155000	51.png	3	Lehrelaptop2	2016-03-31_12.32.26.891000
4	112	3.771000	6.png	4	Lehrelaptop2	2016-03-31_12.32.26.891000
4	97	3.681000	8.png	5	Lehrelaptop2	2016-03-31_12.32.26.891000
4	160	5.699000	1.png	6	Lehrelaptop2	2016-03-31_12.32.26.891000
4	116	5.344000	42.png	7	Lehrelaptop2	2016-03-31_12.32.26.891000
4	174	3.444000	43.png	8	Lehrelaptop2	2016-03-31_12.32.26.891000
4	96	3.517000	20.png	9	Lehrelaptop2	2016-03-31_12.32.26.891000
4	154	3.258000	52.png	10	Lehrelaptop2	2016-03-31_12.32.26.891000
4	79	3.703000	28.png	11	Lehrelaptop2	2016-03-31_12.32.26.891000
4	156	8.554000	50.png	12	Lehrelaptop2	2016-03-31_12.32.26.891000
4	114	3.925000	54.png	13	Lehrelaptop2	2016-03-31_12.32.26.891000
4	109	5.607000	56.png	14	Lehrelaptop2	2016-03-31_12.32.26.891000
4	66	3.642000	55.png	15	Lehrelaptop2	2016-03-31_12.32.26.891000
4	185	3.222000	5.png	16	Lehrelaptop2	2016-03-31_12.32.26.891000
4	100	4.939000	33.png	17	Lehrelaptop2	2016-03-31_12.32.26.891000
4	125	3.704000	4.png	18	Lehrelaptop2	2016-03-31_12.32.26.891000
4	89	3.904000	15.png	19	Lehrelaptop2	2016-03-31_12.32.26.891000
4	146	2.708000	7.png	20	Lehrelaptop2	2016-03-31_12.32.26.891000
4	111	3.769000	53.png	21	Lehrelaptop2	2016-03-31_12.32.26.891000
4	160	4.037000	22.png	22	Lehrelaptop2	2016-03-31_12.32.26.891000
4	100	4.220000	3.png	23	Lehrelaptop2	2016-03-31_12.32.26.891000
4	119	3.061000	14.png	24	Lehrelaptop2	2016-03-31_12.32.26.891000
