ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
6	69	10.446000	22.png	1	Lehrelaptop2	2016-03-31_12.48.03.490000
6	109	3.151000	43.png	2	Lehrelaptop2	2016-03-31_12.48.03.490000
6	51	5.232000	33.png	3	Lehrelaptop2	2016-03-31_12.48.03.490000
6	100	3.185000	50.png	4	Lehrelaptop2	2016-03-31_12.48.03.490000
6	89	3.194000	54.png	5	Lehrelaptop2	2016-03-31_12.48.03.490000
6	90	3.101000	8.png	6	Lehrelaptop2	2016-03-31_12.48.03.490000
6	135	3.821000	1.png	7	Lehrelaptop2	2016-03-31_12.48.03.490000
6	49	2.973000	40.png	8	Lehrelaptop2	2016-03-31_12.48.03.490000
6	89	3.068000	55.png	9	Lehrelaptop2	2016-03-31_12.48.03.490000
6	58	2.847000	42.png	10	Lehrelaptop2	2016-03-31_12.48.03.490000
6	120	4.092000	7.png	11	Lehrelaptop2	2016-03-31_12.48.03.490000
6	28	3.675000	20.png	12	Lehrelaptop2	2016-03-31_12.48.03.490000
6	114	2.927000	52.png	13	Lehrelaptop2	2016-03-31_12.48.03.490000
6	15	4.483000	27.png	14	Lehrelaptop2	2016-03-31_12.48.03.490000
6	97	3.644000	14.png	15	Lehrelaptop2	2016-03-31_12.48.03.490000
6	77	3.551000	15.png	16	Lehrelaptop2	2016-03-31_12.48.03.490000
6	135	2.458000	6.png	17	Lehrelaptop2	2016-03-31_12.48.03.490000
6	69	2.161000	53.png	18	Lehrelaptop2	2016-03-31_12.48.03.490000
6	88	2.272000	56.png	19	Lehrelaptop2	2016-03-31_12.48.03.490000
6	93	3.271000	4.png	20	Lehrelaptop2	2016-03-31_12.48.03.490000
6	54	4.070000	28.png	21	Lehrelaptop2	2016-03-31_12.48.03.490000
6	131	2.450000	3.png	22	Lehrelaptop2	2016-03-31_12.48.03.490000
6	110	3.217000	5.png	23	Lehrelaptop2	2016-03-31_12.48.03.490000
6	120	1.901000	51.png	24	Lehrelaptop2	2016-03-31_12.48.03.490000
