ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
29	100	32.972000	20.png	1	Lehrelaptop2	2016-03-31_17.02.06.158000
29	115	5.524000	40.png	2	Lehrelaptop2	2016-03-31_17.02.06.158000
29	125	4.699000	6.png	3	Lehrelaptop2	2016-03-31_17.02.06.158000
29	114	4.787000	14.png	4	Lehrelaptop2	2016-03-31_17.02.06.158000
29	105	3.222000	22.png	5	Lehrelaptop2	2016-03-31_17.02.06.158000
29	120	3.177000	33.png	6	Lehrelaptop2	2016-03-31_17.02.06.158000
29	153	4.810000	3.png	7	Lehrelaptop2	2016-03-31_17.02.06.158000
29	156	2.895000	56.png	8	Lehrelaptop2	2016-03-31_17.02.06.158000
29	122	4.857000	43.png	9	Lehrelaptop2	2016-03-31_17.02.06.158000
29	128	3.705000	42.png	10	Lehrelaptop2	2016-03-31_17.02.06.158000
29	145	7.510000	4.png	11	Lehrelaptop2	2016-03-31_17.02.06.158000
29	168	4.673000	53.png	12	Lehrelaptop2	2016-03-31_17.02.06.158000
29	119	6.312000	7.png	13	Lehrelaptop2	2016-03-31_17.02.06.158000
29	114	5.047000	27.png	14	Lehrelaptop2	2016-03-31_17.02.06.158000
29	126	4.405000	55.png	15	Lehrelaptop2	2016-03-31_17.02.06.158000
29	143	3.575000	1.png	16	Lehrelaptop2	2016-03-31_17.02.06.158000
29	125	2.314000	28.png	17	Lehrelaptop2	2016-03-31_17.02.06.158000
29	143	3.690000	54.png	18	Lehrelaptop2	2016-03-31_17.02.06.158000
29	131	4.565000	5.png	19	Lehrelaptop2	2016-03-31_17.02.06.158000
29	121	6.632000	8.png	20	Lehrelaptop2	2016-03-31_17.02.06.158000
29	127	2.929000	15.png	21	Lehrelaptop2	2016-03-31_17.02.06.158000
29	137	3.346000	50.png	22	Lehrelaptop2	2016-03-31_17.02.06.158000
29	159	3.099000	51.png	23	Lehrelaptop2	2016-03-31_17.02.06.158000
29	173	3.504000	52.png	24	Lehrelaptop2	2016-03-31_17.02.06.158000
