ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
28	30	13.108000	1.png	1	Lehrelaptop2	2016-03-31_16.53.15.404000
28	12	4.309000	55.png	2	Lehrelaptop2	2016-03-31_16.53.15.404000
28	29	4.723000	42.png	3	Lehrelaptop2	2016-03-31_16.53.15.404000
28	60	5.325000	6.png	4	Lehrelaptop2	2016-03-31_16.53.15.404000
28	5	7.439000	15.png	5	Lehrelaptop2	2016-03-31_16.53.15.404000
28	19	3.107000	40.png	6	Lehrelaptop2	2016-03-31_16.53.15.404000
28	10	3.686000	56.png	7	Lehrelaptop2	2016-03-31_16.53.15.404000
28	55	2.782000	52.png	8	Lehrelaptop2	2016-03-31_16.53.15.404000
28	0	3.379000	28.png	9	Lehrelaptop2	2016-03-31_16.53.15.404000
28	78	3.049000	43.png	10	Lehrelaptop2	2016-03-31_16.53.15.404000
28	79	3.044000	54.png	11	Lehrelaptop2	2016-03-31_16.53.15.404000
28	104	4.519000	14.png	12	Lehrelaptop2	2016-03-31_16.53.15.404000
28	59	4.203000	22.png	13	Lehrelaptop2	2016-03-31_16.53.15.404000
28	42	2.927000	50.png	14	Lehrelaptop2	2016-03-31_16.53.15.404000
28	99	4.474000	8.png	15	Lehrelaptop2	2016-03-31_16.53.15.404000
28	78	2.024000	33.png	16	Lehrelaptop2	2016-03-31_16.53.15.404000
28	106	5.646000	7.png	17	Lehrelaptop2	2016-03-31_16.53.15.404000
28	81	3.678000	53.png	18	Lehrelaptop2	2016-03-31_16.53.15.404000
28	114	3.548000	4.png	19	Lehrelaptop2	2016-03-31_16.53.15.404000
28	109	1.814000	3.png	20	Lehrelaptop2	2016-03-31_16.53.15.404000
28	0	3.328000	27.png	21	Lehrelaptop2	2016-03-31_16.53.15.404000
28	76	2.038000	51.png	22	Lehrelaptop2	2016-03-31_16.53.15.404000
28	128	2.582000	5.png	23	Lehrelaptop2	2016-03-31_16.53.15.404000
28	75	2.185000	20.png	24	Lehrelaptop2	2016-03-31_16.53.15.404000
