ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
14	44	9.748000	15.png	1	Lehrelaptop2	2016-03-31_13.50.21.150000
14	77	11.751000	40.png	2	Lehrelaptop2	2016-03-31_13.50.21.150000
14	125	5.187000	22.png	3	Lehrelaptop2	2016-03-31_13.50.21.150000
14	134	7.809000	8.png	4	Lehrelaptop2	2016-03-31_13.50.21.150000
14	178	4.314000	52.png	5	Lehrelaptop2	2016-03-31_13.50.21.150000
14	198	5.173000	33.png	6	Lehrelaptop2	2016-03-31_13.50.21.150000
14	145	4.988000	1.png	7	Lehrelaptop2	2016-03-31_13.50.21.150000
14	178	4.236000	14.png	8	Lehrelaptop2	2016-03-31_13.50.21.150000
14	128	5.622000	53.png	9	Lehrelaptop2	2016-03-31_13.50.21.150000
14	55	9.934000	6.png	10	Lehrelaptop2	2016-03-31_13.50.21.150000
14	90	8.526000	20.png	11	Lehrelaptop2	2016-03-31_13.50.21.150000
14	127	8.970000	42.png	12	Lehrelaptop2	2016-03-31_13.50.21.150000
14	40	12.493000	54.png	13	Lehrelaptop2	2016-03-31_13.50.21.150000
14	150	7.729000	7.png	14	Lehrelaptop2	2016-03-31_13.50.21.150000
14	60	5.875000	4.png	15	Lehrelaptop2	2016-03-31_13.50.21.150000
14	70	3.737000	28.png	16	Lehrelaptop2	2016-03-31_13.50.21.150000
14	40	9.376000	27.png	17	Lehrelaptop2	2016-03-31_13.50.21.150000
14	50	5.748000	56.png	18	Lehrelaptop2	2016-03-31_13.50.21.150000
14	61	26.282000	55.png	19	Lehrelaptop2	2016-03-31_13.50.21.150000
14	139	3.286000	50.png	20	Lehrelaptop2	2016-03-31_13.50.21.150000
14	118	3.907000	3.png	21	Lehrelaptop2	2016-03-31_13.50.21.150000
14	116	6.196000	43.png	22	Lehrelaptop2	2016-03-31_13.50.21.150000
14	129	5.796000	5.png	23	Lehrelaptop2	2016-03-31_13.50.21.150000
14	100	2.894000	51.png	24	Lehrelaptop2	2016-03-31_13.50.21.150000
