ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
8	165	21.619000	43.png	1	Lehrelaptop2	2016-03-31_13.01.13.455000
8	112	10.939000	8.png	2	Lehrelaptop2	2016-03-31_13.01.13.455000
8	139	10.635000	52.png	3	Lehrelaptop2	2016-03-31_13.01.13.455000
8	106	7.950000	42.png	4	Lehrelaptop2	2016-03-31_13.01.13.455000
8	84	4.910000	15.png	5	Lehrelaptop2	2016-03-31_13.01.13.455000
8	155	7.998000	51.png	6	Lehrelaptop2	2016-03-31_13.01.13.455000
8	173	3.846000	7.png	7	Lehrelaptop2	2016-03-31_13.01.13.455000
8	113	6.938000	40.png	8	Lehrelaptop2	2016-03-31_13.01.13.455000
8	148	5.192000	4.png	9	Lehrelaptop2	2016-03-31_13.01.13.455000
8	155	3.991000	14.png	10	Lehrelaptop2	2016-03-31_13.01.13.455000
8	122	3.422000	3.png	11	Lehrelaptop2	2016-03-31_13.01.13.455000
8	163	2.865000	6.png	12	Lehrelaptop2	2016-03-31_13.01.13.455000
8	94	3.294000	28.png	13	Lehrelaptop2	2016-03-31_13.01.13.455000
8	133	5.862000	27.png	14	Lehrelaptop2	2016-03-31_13.01.13.455000
8	74	2.939000	20.png	15	Lehrelaptop2	2016-03-31_13.01.13.455000
8	115	3.429000	50.png	16	Lehrelaptop2	2016-03-31_13.01.13.455000
8	147	2.743000	33.png	17	Lehrelaptop2	2016-03-31_13.01.13.455000
8	145	3.137000	55.png	18	Lehrelaptop2	2016-03-31_13.01.13.455000
8	114	2.563000	5.png	19	Lehrelaptop2	2016-03-31_13.01.13.455000
8	145	5.151000	1.png	20	Lehrelaptop2	2016-03-31_13.01.13.455000
8	153	4.880000	56.png	21	Lehrelaptop2	2016-03-31_13.01.13.455000
8	117	2.728000	22.png	22	Lehrelaptop2	2016-03-31_13.01.13.455000
8	96	2.724000	53.png	23	Lehrelaptop2	2016-03-31_13.01.13.455000
8	131	3.476000	54.png	24	Lehrelaptop2	2016-03-31_13.01.13.455000
