ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
13	40	12.182000	20.png	1	Lehrelaptop2	2016-03-31_13.41.40.641000
13	81	9.991000	22.png	2	Lehrelaptop2	2016-03-31_13.41.40.641000
13	70	9.512000	7.png	3	Lehrelaptop2	2016-03-31_13.41.40.641000
13	70	4.465000	33.png	4	Lehrelaptop2	2016-03-31_13.41.40.641000
13	41	3.780000	4.png	5	Lehrelaptop2	2016-03-31_13.41.40.641000
13	40	3.568000	52.png	6	Lehrelaptop2	2016-03-31_13.41.40.641000
13	90	3.221000	5.png	7	Lehrelaptop2	2016-03-31_13.41.40.641000
13	80	4.064000	1.png	8	Lehrelaptop2	2016-03-31_13.41.40.641000
13	31	4.125000	27.png	9	Lehrelaptop2	2016-03-31_13.41.40.641000
13	31	5.895000	53.png	10	Lehrelaptop2	2016-03-31_13.41.40.641000
13	69	5.468000	3.png	11	Lehrelaptop2	2016-03-31_13.41.40.641000
13	100	5.892000	54.png	12	Lehrelaptop2	2016-03-31_13.41.40.641000
13	94	3.170000	28.png	13	Lehrelaptop2	2016-03-31_13.41.40.641000
13	70	6.039000	56.png	14	Lehrelaptop2	2016-03-31_13.41.40.641000
13	41	4.813000	15.png	15	Lehrelaptop2	2016-03-31_13.41.40.641000
13	120	5.952000	42.png	16	Lehrelaptop2	2016-03-31_13.41.40.641000
13	81	3.740000	14.png	17	Lehrelaptop2	2016-03-31_13.41.40.641000
13	60	3.412000	50.png	18	Lehrelaptop2	2016-03-31_13.41.40.641000
13	40	6.973000	8.png	19	Lehrelaptop2	2016-03-31_13.41.40.641000
13	50	2.783000	40.png	20	Lehrelaptop2	2016-03-31_13.41.40.641000
13	70	11.845000	6.png	21	Lehrelaptop2	2016-03-31_13.41.40.641000
13	120	4.421000	43.png	22	Lehrelaptop2	2016-03-31_13.41.40.641000
13	90	3.991000	55.png	23	Lehrelaptop2	2016-03-31_13.41.40.641000
13	70	4.053000	51.png	24	Lehrelaptop2	2016-03-31_13.41.40.641000
