ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
36	1	white3.bmp	Image	NonBob	k	['k']	correct	1.352812	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.604425	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.420786	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white4.bmp	Image	NonBob	k	['k']	correct	0.488817	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white1.bmp	Image	NonBob	k	['k']	correct	0.430239	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white5.bmp	Image	NonBob	k	['k']	correct	0.482184	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.451559	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	bob1.bmp	Image	NonBob	k	['k']	correct	0.460017	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.465058	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.405577	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.329379	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.347063	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white2.bmp	Image	Bob	d	['d']	correct	0.317101	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
36	1	white5.bmp	Image	NonBob	k	['k']	correct	0.425883	0.000000	1	2	1	1	versuchneu8	2016-07-20_14.26.49.511000
