ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
47	1	white3.bmp	Image	NonBob	d	['d']	correct	2.251157	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	bob1.bmp	Image	NonBob	d	['d']	correct	1.166122	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.800429	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.557615	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.425251	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white1.bmp	Image	NonBob	d	['d']	correct	0.520737	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.403088	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white2.bmp	Image	NonBob	d	['d']	correct	0.518570	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.396760	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white4.bmp	Image	NonBob	d	['d']	correct	0.607867	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.440589	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.397323	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.480478	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white3.bmp	Image	NonBob	d	['d']	correct	0.480316	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.410910	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white1.bmp	Image	NonBob	d	['d']	correct	0.478124	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white2.bmp	Image	NonBob	d	['d']	correct	0.499459	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.489298	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white5.bmp	Image	Bob	k	['k']	correct	0.414879	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	1	white4.bmp	Image	NonBob	d	['d']	correct	0.418594	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	böse	Text	neg	k	['k']	correct	1.611274	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	hektisch	Text	neg	k	['k']	correct	1.997377	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	Qual	Text	neg	k	['k']	correct	0.745757	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	entsetzlich	Text	neg	k	['k']	correct	0.801659	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	Frieden	Text	pos	d	['d']	correct	0.595513	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
47	2	Humor	Text	pos	d	['d']	correct	0.507771	0.000000	1	1	2	2	versuchneu8	2016-07-22_12.38.17.727000
