subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,target,target_role,start_melody,end_melody,start_scream,end_scream,trial_nr,time_mem_form,time_mem_delay
45,old,ending_first,compatible_first,incompatible_first,ES_yellow,roten Wesen,starting_melody,yes,no,no,no,0,1517041,1522974
45,old,ending_first,compatible_first,incompatible_first,ES_yellow,gelben Wesen,ending_scream,no,no,no,yes,1,1525376,1530655
45,old,ending_first,compatible_first,incompatible_first,ES_yellow,grünen Wesen,starting_scream,no,no,yes,no,2,1533066,1535705
45,old,ending_first,compatible_first,incompatible_first,ES_yellow,lila Wesen,ending_melody,no,yes,no,no,3,1538097,1540735
