subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,target_color,target_role,target_1,target_2,target_3,target_4,eval_rating, trial_nr,time_rate_form,time_rate_delay
57,old,starting_first,compatible_first,compatible_first,ES_red,green,ending_melody,IAT_green4.bmp,IAT_green1.bmp,IAT_green2.bmp,IAT_green3.bmp,6,0,1634854,1651527
57,old,starting_first,compatible_first,compatible_first,ES_red,red,ending_scream,IAT_red3.bmp,IAT_red4.bmp,IAT_red1.bmp,IAT_red2.bmp,3,1,1653938,1667806
57,old,starting_first,compatible_first,compatible_first,ES_red,yellow,starting_scream,IAT_yellow2.bmp,IAT_yellow1.bmp,IAT_yellow4.bmp,IAT_yellow3.bmp,0,2,1670199,1677790
57,old,starting_first,compatible_first,compatible_first,ES_red,purple,starting_melody,IAT_purple2.bmp,IAT_purple3.bmp,IAT_purple4.bmp,IAT_purple1.bmp,6,3,1680199,1686796
