subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,target_color,target_role,target_1,target_2,target_3,target_4,eval_rating, trial_nr,time_rate_form,time_rate_delay
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,yellow,ending_scream,IAT_yellow4.bmp,IAT_yellow3.bmp,IAT_yellow1.bmp,IAT_yellow2.bmp,4,0,1532767,1542006
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,purple,ending_melody,IAT_purple4.bmp,IAT_purple1.bmp,IAT_purple2.bmp,IAT_purple3.bmp,7,1,1544400,1547036
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,red,starting_melody,IAT_red2.bmp,IAT_red3.bmp,IAT_red1.bmp,IAT_red4.bmp,0,2,1549428,1551405
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,green,starting_scream,IAT_green3.bmp,IAT_green2.bmp,IAT_green4.bmp,IAT_green1.bmp,0,3,1553838,1555116
