subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,target,target_role,start_melody,end_melody,start_scream,end_scream,trial_nr,time_mem_form,time_mem_delay
44,old,ending_first,incompatible_first,compatible_first,ES_green,grünen Wesen,ending_scream,no,no,no,yes,0,1762678,1768290
44,old,ending_first,incompatible_first,compatible_first,ES_green,roten Wesen,ending_melody,no,yes,no,no,1,1770682,1773980
44,old,ending_first,incompatible_first,compatible_first,ES_green,lila Wesen,starting_scream,no,no,yes,no,2,1776371,1779669
44,old,ending_first,incompatible_first,compatible_first,ES_green,gelben Wesen,starting_melody,yes,no,no,no,3,1782061,1788659
