subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;RW_dur;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
2;1;1;1;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.35347389997332357;0.36007450000033714;254562.4217701;2.7999922167509794e-06;0.49635359999956563;0.5363895999907982;0.5480107000039425;0.6177451999974437;0.848144699994009;0.8481646000000183;0;0;0;1;0.01
2;1;1;2;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.28369819998624735;0.2896483999793418;254564.213563;2.6999914553016424e-06;0.5023846999974921;0.5424031000002287;0.5544193999958225;0.6236043999961112;0.8440686999820173;0.8440707999980077;0;1;0;0;0.01
2;1;1;3;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.3105702000029851;0.3201646000088658;254565.9815758;2.6999914553016424e-06;0.5001098999928217;0.5401258000056259;0.5521609999996144;0.6219280999794137;0.8523216999892611;0.8523281999805477;0;0;0;1;0.01
2;1;1;4;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.34037009999156;0.3411385999934282;254567.7816671;2.700020559132099e-06;0.49690369999734685;0.5369247000198811;0.5481519000022672;0.6189548000111245;0.8483415000082459;0.8483479999995325;0;0;0;1;0.01
2;1;1;5;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.3183638000045903;0.3201820999966003;254569.5417383;2.7999922167509794e-06;0.5037200999795459;0.5437155999825336;0.5558528999972623;0.6255253999843262;0.8559268999961205;0.8559464999998454;0;0;0;1;0.01
2;1;1;6;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.37153889998444356;0.3801306000095792;254571.3659054;2.7999922167509794e-06;0.5009727000142448;0.5409946000145283;0.5529538000118919;0.6228455000091344;0.8531371999997646;0.8531580000126269;0;0;0;1;0.01
2;1;1;7;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.2739988999965135;0.2802605000033509;254573.1095815;2.8999929782003164e-06;0.501912200008519;0.5419262000068557;0.5539377999957651;0.6237068999907933;0.8341990000044461;0.8342011999920942;0;1;0;0;0.01
2;1;1;8;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.2712740999995731;0.2802648000069894;254574.8775399;2.400018274784088e-06;0.49873350001871586;0.5387731000082567;0.5503101000213064;0.6200842000253033;0.8305759000068065;0.8305779000220355;0;1;0;0;0.01
2;1;1;9;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.32761439998284914;0.33013439999194816;254576.6455163;2.3999891709536314e-06;0.5009053999965545;0.5409134000074118;0.5530050999950618;0.6227817999897525;0.8531622999871615;0.8531683000037447;0;0;0;1;0.01
2;1;1;10;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.2672548000118695;0.27043880001292564;254578.3656661;2.400018274784088e-06;0.50398259999929;0.5440034000203013;0.5554788000008557;0.6253889000217896;0.8259255000157282;0.8259324000100605;0;1;0;0;0.01
