phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,130,3.png,positive,negative,7
globalratings,130,26.png,negative,positive,13
globalratings,130,7.png,negative,positive,17
globalratings,130,23.png,positive,negative,18
globalratings,130,9.png,neutral,neutral,11
globalratings,130,14.png,negative,positive,15
globalratings,130,21.png,neutral,neutral,13
globalratings,130,11.png,neutral,neutral,11
globalratings,130,24.png,negative,positive,7
globalratings,130,17.png,positive,negative,5
globalratings,130,12.png,neutral,neutral,11
globalratings,130,4.png,negative,positive,14
globalratings,130,1.png,neutral,neutral,11
globalratings,130,18.png,positive,negative,9
globalratings,130,8.png,positive,negative,7
globalratings,130,10.png,negative,positive,8
globalratings,130,5.png,neutral,neutral,9
globalratings,130,20.png,positive,negative,15
c2ratings,130,8.png,positive,negative,9
c2ratings,130,21.png,neutral,neutral,11
c2ratings,130,14.png,negative,positive,13
c2ratings,130,26.png,negative,positive,11
c2ratings,130,12.png,neutral,neutral,15
c2ratings,130,7.png,negative,positive,14
c2ratings,130,10.png,negative,positive,10
c2ratings,130,11.png,neutral,neutral,11
c2ratings,130,3.png,positive,negative,7
c2ratings,130,1.png,neutral,neutral,9
c2ratings,130,23.png,positive,negative,15
c2ratings,130,5.png,neutral,neutral,13
c2ratings,130,4.png,negative,positive,16
c2ratings,130,20.png,positive,negative,16
c2ratings,130,24.png,negative,positive,11
c2ratings,130,17.png,positive,negative,7
c2ratings,130,9.png,neutral,neutral,8
c2ratings,130,18.png,positive,negative,9
c1ratings,130,7.png,negative,positive,16
c1ratings,130,10.png,negative,positive,10
c1ratings,130,21.png,neutral,neutral,14
c1ratings,130,4.png,negative,positive,12
c1ratings,130,20.png,positive,negative,15
c1ratings,130,23.png,positive,negative,16
c1ratings,130,12.png,neutral,neutral,17
c1ratings,130,26.png,negative,positive,12
c1ratings,130,17.png,positive,negative,8
c1ratings,130,9.png,neutral,neutral,9
c1ratings,130,11.png,neutral,neutral,10
c1ratings,130,18.png,positive,negative,9
c1ratings,130,3.png,positive,negative,7
c1ratings,130,5.png,neutral,neutral,10
c1ratings,130,1.png,neutral,neutral,11
c1ratings,130,24.png,negative,positive,9
c1ratings,130,8.png,positive,negative,10
c1ratings,130,14.png,negative,positive,11
