subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
32,cs15.bmp,9,1485097,1488134
32,cs22.bmp,13,1488953,1491349
32,cs24.bmp,10,1492047,1494141
32,cs23.bmp,6,1494832,1497533
32,cs25.bmp,11,1498231,1500302
32,cs21.bmp,16,1500996,1503638
32,cs14.bmp,12,1504337,1506534
32,cs3.bmp,13,1507230,1509365
32,cs11.bmp,6,1510063,1511853
32,cs30.bmp,18,1512545,1514901
32,cs4.bmp,13,1515603,1523934
32,cs12.bmp,15,1524637,1526973
32,cs5.bmp,9,1527672,1531253
32,cs6.bmp,12,1531951,1533949
32,cs10.bmp,7,1534645,1538718
32,cs28.bmp,10,1539419,1541510
32,cs16.bmp,9,1542209,1546877
32,cs26.bmp,14,1547569,1549541
32,cs18.bmp,15,1550238,1551757
32,cs19.bmp,15,1552449,1554326
32,cs29.bmp,12,1555025,1556662
32,cs2.bmp,10,1557354,1559966
32,cs13.bmp,18,1560659,1562701
32,cs1.bmp,15,1563399,1564949
32,cs27.bmp,13,1565647,1567429
32,cs9.bmp,9,1568129,1572726
32,cs20.bmp,12,1573423,1576046
32,cs7.bmp,4,1576738,1583717
32,cs17.bmp,15,1584417,1586909
32,cs8.bmp,8,1587605,1590782
