phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,51,12.png,positive,extinction,18
globalratings,51,18.png,negative,extinction,5
globalratings,51,24.png,neutral,extinction,7
globalratings,51,21.png,extinction,positive,9
globalratings,51,9.png,positive,extinction,13
globalratings,51,3.png,extinction,neutral,11
globalratings,51,5.png,extinction,neutral,14
globalratings,51,26.png,neutral,extinction,8
globalratings,51,10.png,extinction,negative,8
globalratings,51,14.png,extinction,negative,9
globalratings,51,7.png,positive,extinction,15
globalratings,51,4.png,negative,extinction,11
globalratings,51,20.png,negative,extinction,8
globalratings,51,17.png,neutral,extinction,4
globalratings,51,11.png,extinction,negative,10
globalratings,51,8.png,extinction,positive,9
globalratings,51,1.png,extinction,positive,15
globalratings,51,23.png,extinction,neutral,9
c2ratings,51,26.png,neutral,extinction,11
c2ratings,51,8.png,extinction,positive,13
c2ratings,51,5.png,extinction,neutral,18
c2ratings,51,14.png,extinction,negative,16
c2ratings,51,7.png,positive,extinction,18
c2ratings,51,3.png,extinction,neutral,18
c2ratings,51,17.png,neutral,extinction,15
c2ratings,51,24.png,neutral,extinction,13
c2ratings,51,21.png,extinction,positive,13
c2ratings,51,1.png,extinction,positive,16
c2ratings,51,20.png,negative,extinction,13
c2ratings,51,18.png,negative,extinction,14
c2ratings,51,10.png,extinction,negative,13
c2ratings,51,12.png,positive,extinction,15
c2ratings,51,9.png,positive,extinction,15
c2ratings,51,23.png,extinction,neutral,14
c2ratings,51,4.png,negative,extinction,14
c2ratings,51,11.png,extinction,negative,14
c1ratings,51,1.png,extinction,positive,14
c1ratings,51,5.png,extinction,neutral,14
c1ratings,51,17.png,neutral,extinction,14
c1ratings,51,18.png,negative,extinction,14
c1ratings,51,8.png,extinction,positive,15
c1ratings,51,9.png,positive,extinction,15
c1ratings,51,14.png,extinction,negative,16
c1ratings,51,23.png,extinction,neutral,12
c1ratings,51,10.png,extinction,negative,15
c1ratings,51,20.png,negative,extinction,13
c1ratings,51,26.png,neutral,extinction,15
c1ratings,51,12.png,positive,extinction,16
c1ratings,51,24.png,neutral,extinction,14
c1ratings,51,7.png,positive,extinction,18
c1ratings,51,11.png,extinction,negative,14
c1ratings,51,21.png,extinction,positive,14
c1ratings,51,4.png,negative,extinction,15
c1ratings,51,3.png,extinction,neutral,18
