phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,46,26.png,extinction,positive,18
globalratings,46,9.png,positive,extinction,12
globalratings,46,18.png,negative,extinction,15
globalratings,46,20.png,extinction,neutral,9
globalratings,46,11.png,extinction,positive,3
globalratings,46,14.png,neutral,extinction,3
globalratings,46,7.png,extinction,neutral,7
globalratings,46,1.png,extinction,negative,6
globalratings,46,23.png,extinction,positive,18
globalratings,46,5.png,negative,extinction,5
globalratings,46,8.png,extinction,negative,1
globalratings,46,24.png,positive,extinction,17
globalratings,46,21.png,extinction,negative,3
globalratings,46,10.png,positive,extinction,3
globalratings,46,17.png,negative,extinction,4
globalratings,46,12.png,neutral,extinction,8
globalratings,46,4.png,neutral,extinction,11
globalratings,46,3.png,extinction,neutral,5
c2ratings,46,17.png,negative,extinction,6
c2ratings,46,3.png,extinction,neutral,4
c2ratings,46,18.png,negative,extinction,5
c2ratings,46,14.png,neutral,extinction,9
c2ratings,46,10.png,positive,extinction,9
c2ratings,46,7.png,extinction,neutral,8
c2ratings,46,5.png,negative,extinction,5
c2ratings,46,24.png,positive,extinction,12
c2ratings,46,9.png,positive,extinction,12
c2ratings,46,1.png,extinction,negative,5
c2ratings,46,12.png,neutral,extinction,9
c2ratings,46,8.png,extinction,negative,1
c2ratings,46,23.png,extinction,positive,17
c2ratings,46,11.png,extinction,positive,5
c2ratings,46,26.png,extinction,positive,17
c2ratings,46,20.png,extinction,neutral,13
c2ratings,46,21.png,extinction,negative,3
c2ratings,46,4.png,neutral,extinction,3
c1ratings,46,18.png,negative,extinction,8
c1ratings,46,23.png,extinction,positive,16
c1ratings,46,9.png,positive,extinction,4
c1ratings,46,5.png,negative,extinction,5
c1ratings,46,3.png,extinction,neutral,4
c1ratings,46,8.png,extinction,negative,13
c1ratings,46,26.png,extinction,positive,6
c1ratings,46,24.png,positive,extinction,17
c1ratings,46,14.png,neutral,extinction,6
c1ratings,46,20.png,extinction,neutral,6
c1ratings,46,4.png,neutral,extinction,13
c1ratings,46,1.png,extinction,negative,6
c1ratings,46,11.png,extinction,positive,6
c1ratings,46,17.png,negative,extinction,2
c1ratings,46,7.png,extinction,neutral,8
c1ratings,46,21.png,extinction,negative,6
c1ratings,46,12.png,neutral,extinction,5
c1ratings,46,10.png,positive,extinction,1
