phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,41,8.png,extinction,negative,2
globalratings,41,11.png,extinction,positive,16
globalratings,41,5.png,negative,extinction,7
globalratings,41,23.png,extinction,positive,16
globalratings,41,1.png,extinction,negative,2
globalratings,41,4.png,neutral,extinction,13
globalratings,41,20.png,extinction,neutral,15
globalratings,41,18.png,negative,extinction,3
globalratings,41,12.png,neutral,extinction,16
globalratings,41,21.png,extinction,negative,7
globalratings,41,10.png,positive,extinction,10
globalratings,41,24.png,positive,extinction,15
globalratings,41,26.png,extinction,positive,2
globalratings,41,9.png,positive,extinction,16
globalratings,41,14.png,neutral,extinction,8
globalratings,41,3.png,extinction,neutral,15
globalratings,41,7.png,extinction,neutral,15
globalratings,41,17.png,negative,extinction,9
c2ratings,41,9.png,positive,extinction,16
c2ratings,41,18.png,negative,extinction,7
c2ratings,41,4.png,neutral,extinction,14
c2ratings,41,17.png,negative,extinction,10
c2ratings,41,26.png,extinction,positive,6
c2ratings,41,8.png,extinction,negative,3
c2ratings,41,12.png,neutral,extinction,16
c2ratings,41,14.png,neutral,extinction,8
c2ratings,41,11.png,extinction,positive,16
c2ratings,41,20.png,extinction,neutral,16
c2ratings,41,21.png,extinction,negative,8
c2ratings,41,7.png,extinction,neutral,16
c2ratings,41,3.png,extinction,neutral,17
c2ratings,41,23.png,extinction,positive,17
c2ratings,41,24.png,positive,extinction,16
c2ratings,41,1.png,extinction,negative,7
c2ratings,41,5.png,negative,extinction,9
c2ratings,41,10.png,positive,extinction,9
c1ratings,41,1.png,extinction,negative,8
c1ratings,41,18.png,negative,extinction,5
c1ratings,41,14.png,neutral,extinction,8
c1ratings,41,9.png,positive,extinction,13
c1ratings,41,7.png,extinction,neutral,16
c1ratings,41,12.png,neutral,extinction,16
c1ratings,41,4.png,neutral,extinction,14
c1ratings,41,8.png,extinction,negative,6
c1ratings,41,11.png,extinction,positive,9
c1ratings,41,3.png,extinction,neutral,16
c1ratings,41,17.png,negative,extinction,7
c1ratings,41,21.png,extinction,negative,9
c1ratings,41,26.png,extinction,positive,3
c1ratings,41,24.png,positive,extinction,12
c1ratings,41,5.png,negative,extinction,9
c1ratings,41,23.png,extinction,positive,13
c1ratings,41,10.png,positive,extinction,9
c1ratings,41,20.png,extinction,neutral,15
