phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,42,5.png,negative,extinction,12
globalratings,42,23.png,extinction,positive,16
globalratings,42,14.png,neutral,extinction,6
globalratings,42,3.png,extinction,neutral,9
globalratings,42,21.png,extinction,negative,9
globalratings,42,26.png,extinction,positive,13
globalratings,42,4.png,neutral,extinction,5
globalratings,42,9.png,positive,extinction,8
globalratings,42,17.png,negative,extinction,10
globalratings,42,7.png,extinction,neutral,14
globalratings,42,8.png,extinction,negative,7
globalratings,42,12.png,neutral,extinction,2
globalratings,42,18.png,negative,extinction,12
globalratings,42,11.png,extinction,positive,11
globalratings,42,10.png,positive,extinction,4
globalratings,42,20.png,extinction,neutral,8
globalratings,42,1.png,extinction,negative,8
globalratings,42,24.png,positive,extinction,8
c2ratings,42,17.png,negative,extinction,7
c2ratings,42,20.png,extinction,neutral,8
c2ratings,42,18.png,negative,extinction,8
c2ratings,42,23.png,extinction,positive,14
c2ratings,42,3.png,extinction,neutral,8
c2ratings,42,7.png,extinction,neutral,9
c2ratings,42,14.png,neutral,extinction,6
c2ratings,42,8.png,extinction,negative,6
c2ratings,42,21.png,extinction,negative,0
c2ratings,42,11.png,extinction,positive,14
c2ratings,42,26.png,extinction,positive,15
c2ratings,42,4.png,neutral,extinction,8
c2ratings,42,9.png,positive,extinction,15
c2ratings,42,5.png,negative,extinction,2
c2ratings,42,10.png,positive,extinction,6
c2ratings,42,24.png,positive,extinction,7
c2ratings,42,1.png,extinction,negative,2
c2ratings,42,12.png,neutral,extinction,7
c1ratings,42,21.png,extinction,negative,8
c1ratings,42,18.png,negative,extinction,11
c1ratings,42,17.png,negative,extinction,7
c1ratings,42,9.png,positive,extinction,4
c1ratings,42,24.png,positive,extinction,5
c1ratings,42,7.png,extinction,neutral,12
c1ratings,42,26.png,extinction,positive,8
c1ratings,42,14.png,neutral,extinction,8
c1ratings,42,12.png,neutral,extinction,4
c1ratings,42,23.png,extinction,positive,13
c1ratings,42,5.png,negative,extinction,5
c1ratings,42,8.png,extinction,negative,7
c1ratings,42,10.png,positive,extinction,9
c1ratings,42,1.png,extinction,negative,6
c1ratings,42,4.png,neutral,extinction,6
c1ratings,42,11.png,extinction,positive,12
c1ratings,42,20.png,extinction,neutral,10
c1ratings,42,3.png,extinction,neutral,14
