subjnr;blocknr;trialnr;congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
7;9;3;congruent;0.04;CS_#000000_190.png;0.09;0.07;fullmask_#515151.png;0.4;arrow_right.png;m;0.5364425000734627;0.5665294001810253;1669880.0728791;2.800021320581436e-06;0.4986179999541491;0.5319366999901831;0.5835078000091016;0.6504051999654621;0.9834181000478566;1.117066300008446;0;0;0;1;0.016666666666666666
7;10;1;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.3;arrow_left.png;m;0.4652152999769896;0.4668042999692261;1669882.5850127;2.600019797682762e-06;0.49422110011801124;0.5275359998922795;0.5792557001113892;0.6460831000003964;0.8794456000905484;1.0120816000271589;0;0;0;1;0.016666666666666666
7;10;2;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.3;arrow_left.png;c;0.51828350010328;0.5335049000568688;1669884.5048881;2.6999041438102722e-06;0.5024486999027431;0.5357734998688102;0.5877370999660343;0.6544354998040944;0.8877781999763101;1.0204183999449015;0;0;0;1;0.016666666666666666
7;10;3;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.3;arrow_left.png;c;0.4498165000695735;0.46677000005729496;1669886.1529129;2.700136974453926e-06;0.4925853000022471;0.5259360000491142;0.577797600068152;0.6445760999340564;0.8779446999542415;1.0106053000781685;0;0;0;1;0.016666666666666666
7;11;1;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.25;arrow_left.png;m;0.4162422998342663;0.4331904000137001;1669889.1691253;2.800021320581436e-06;0.4983926999848336;0.5317248001229018;0.5835581000428647;0.6504238999914378;0.8329160001594573;0.9666053000837564;0;0;0;1;0.016666666666666666
7;11;2;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.25;arrow_left.png;c;0.447631899965927;0.44993799994699657;1669890.8168663;2.9001384973526e-06;0.4983920000959188;0.5317252001259476;0.5833199999760836;0.6502321001607925;0.8337324000895023;0.9663780000992119;0;0;0;1;0.016666666666666666
7;11;3;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.25;arrow_left.png;c;0.4136959998868406;0.41689959983341396;1669892.4328655;2.800021320581436e-06;0.5016975000035018;0.5350444000214338;0.5866545001044869;0.6534349999856204;0.8369518001563847;0.9695967000443488;0;0;0;1;0.016666666666666666
7;17;1;congruent;0.04;CS_#000000_169.png;0.05;0.07;framemask_#515151.png;0.4;arrow_left.png;c;0.40216200007125735;0.416927200043574;1669908.136893;2.700136974453926e-06;0.4907281999476254;0.5241618000436574;0.542090900009498;0.6088891001418233;0.9419955001212656;1.1573614999651909;0;0;1;0;0.016666666666666666
7;17;2;congruent;0.04;CS_#000000_169.png;0.05;0.07;framemask_#515151.png;0.4;arrow_left.png;c;0.5706754000857472;0.5834959000349045;1669910.0888433;2.600019797682762e-06;0.49698879988864064;0.530321299796924;0.5485393998678774;0.6154461998958141;0.9484631000086665;1.0821264998521656;0;0;0;1;0.016666666666666666
7;17;3;congruent;0.04;CS_#000000_181.png;0.05;0.07;framemask_#515151.png;0.4;arrow_right.png;c;0.2776347000617534;0.28326599998399615;1669911.5289131;2.700136974453926e-06;0.49801670014858246;0.531338700093329;0.5494312001392245;0.6162115000188351;0.83270060014911;0.832704900065437;0;1;0;0;0.016666666666666666
7;18;1;congruent;0.04;CS_#000000_169.png;0.05;0.07;framemask_#515151.png;0.3;arrow_left.png;m;0.38266620016656816;0.3828980000689626;1669914.0009133;2.800021320581436e-06;0.4951770000625402;0.5284944002050906;0.5470280000008643;0.6138081001117826;0.8471936001442373;1.12848040019162;0;0;1;0;0.016666666666666666
7;18;2;congruent;0.04;CS_#000000_181.png;0.05;0.07;framemask_#515151.png;0.3;arrow_right.png;c;0.40851219999603927;0.41693959990516305;1669915.9928671;2.6999041438102722e-06;0.49341250001452863;0.5267360999714583;0.544814599910751;0.6117197000421584;0.845004899892956;1.16008699988015;0;0;1;0;0.016666666666666666
7;18;3;congruent;0.04;CS_#000000_169.png;0.05;0.07;framemask_#515151.png;0.3;arrow_left.png;m;0.225063799880445;0.2333783998619765;1669917.7928622;2.6999041438102722e-06;0.49706170009449124;0.5303847000468522;0.5486602000892162;0.6155205999966711;0.7820381000638008;0.7820407999679446;0;1;0;0;0.016666666666666666
7;19;1;congruent;0.04;CS_#000000_181.png;0.05;0.07;framemask_#515151.png;0.25;arrow_right.png;m;0.2759750001132488;0.2834576000459492;1669920.9768322;2.6999041438102722e-06;0.4892563000321388;0.5225638998672366;0.5407514998223633;0.6078661000356078;0.791105099953711;1.0225456999614835;0;0;1;0;0.016666666666666666
7;19;2;congruent;0.04;CS_#000000_169.png;0.05;0.07;framemask_#515151.png;0.25;arrow_left.png;c;0.45746039994992316;0.4657636000774801;1669922.8088544;2.8999056667089462e-06;0.4985089998226613;0.531840099953115;0.5506276998203248;0.616400099825114;0.7999229999259114;0.933577099815011;0;0;0;1;0.016666666666666666
7;19;3;congruent;0.04;CS_#000000_181.png;0.05;0.07;framemask_#515151.png;0.25;arrow_right.png;m;0.3275403999723494;0.3331341000739485;1669924.3448975;2.6999041438102722e-06;0.5007334998808801;0.5340393998194486;0.5522361998446286;0.6190308998338878;0.8025248998310417;1.0840276998933405;0;0;1;0;0.016666666666666666
7;25;1;congruent;0.04;CS_#000000_34.png;0.09;0.07;framemask_#515151.png;0.4;arrow_left.png;m;0.24736110004596412;0.2494306000880897;1669939.8808225;2.800021320581436e-06;0.4979336999822408;0.531279900111258;0.5831026001833379;0.6500512000638992;0.8325317001435906;0.8325341001618654;0;1;0;0;0.016666666666666666
7;25;2;congruent;0.04;CS_#000000_128.png;0.09;0.07;framemask_#515151.png;0.4;arrow_right.png;m;0.35725559992715716;0.36593950004316866;1669941.6408229;2.600019797682762e-06;0.4983060001395643;0.53163590002805;0.5836347001604736;0.6503205001354218;0.949573100078851;0.9495755000971258;0;1;0;0;0.016666666666666666
7;25;3;congruent;0.04;CS_#000000_128.png;0.09;0.07;framemask_#515151.png;0.4;arrow_right.png;m;0.4548140000551939;0.466768000042066;1669943.3207999;2.800021320581436e-06;0.50144899985753;0.5347867999225855;0.5859401999041438;0.652710200054571;0.9868165999650955;1.2514144000597298;0;0;1;0;0.016666666666666666
7;26;1;congruent;0.04;CS_#000000_128.png;0.09;0.07;framemask_#515151.png;0.3;arrow_right.png;m;0.2842690998222679;0.2992970999330282;1669946.0008261;2.700136974453926e-06;0.5032318001613021;0.5365900001488626;0.5884553000796586;0.6544068001676351;0.8877503001131117;0.8877528000157326;0;1;0;0;0.016666666666666666
7;26;2;congruent;0.04;CS_#000000_34.png;0.09;0.07;framemask_#515151.png;0.3;arrow_left.png;m;0.4167005999479443;0.4169081000145525;1669947.6329164;2.7997884899377823e-06;0.4893727998714894;0.5226821999531239;0.5743429998401552;0.6412513998802751;0.8745386998634785;1.1893565999343991;0;0;1;0;0.016666666666666666
7;26;3;congruent;0.04;CS_#000000_34.png;0.09;0.07;framemask_#515151.png;0.3;arrow_left.png;c;0.40802790015004575;0.4169386001303792;1669949.6408023;2.6999041438102722e-06;0.49731509992852807;0.5306752000469714;0.5822759000584483;0.6491880998946726;0.8824658999219537;1.1973121999762952;0;0;1;0;0.016666666666666666
7;27;1;congruent;0.04;CS_#000000_128.png;0.09;0.07;framemask_#515151.png;0.25;arrow_right.png;m;0.2958873000461608;0.3001577998511493;1669952.3288112;2.700136974453926e-06;0.4929770000744611;0.5263038999401033;0.5782371000386775;0.6449611000716686;0.8274679000023752;1.0762726999819279;0;0;1;0;0.016666666666666666
7;27;2;congruent;0.04;CS_#000000_128.png;0.09;0.07;framemask_#515151.png;0.25;arrow_right.png;m;0.3080899999476969;0.3161933000665158;1669954.0408802;2.600019797682762e-06;0.49096839991398156;0.5242910999804735;0.5761802999768406;0.643079400062561;0.825482500018552;1.0909563000313938;0;0;1;0;0.016666666666666666
7;27;3;congruent;0.04;CS_#000000_34.png;0.09;0.07;framemask_#515151.png;0.25;arrow_left.png;c;0.3916181998793036;0.41688469983637333;1669955.8408269;2.600019797682762e-06;0.49869409995153546;0.5321025000885129;0.5838033999316394;0.6505742999725044;0.8340720001142472;0.9667045001406223;0;0;0;1;0.016666666666666666
