subjnr;blocknr;trialnr;congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
7;1;1;congruent;0.04;CS_#000000_357.png;0.05;0.07;fullmask_#515151.png;0.4;arrow_left.png;m;0.44353539985604584;0.4495737999677658;1669842.8489058;3.2999087125062943e-06;0.4924236999358982;0.5257863998413086;0.5442770998924971;0.6110061998479068;0.943922899896279;1.1923990999348462;0;0;1;0;0.016666666666666666
7;1;2;congruent;0.04;CS_#000000_172.png;0.05;0.07;fullmask_#515151.png;0.4;arrow_right.png;m;0.37796650012023747;0.3838087001349777;1669844.8328972;2.800021320581436e-06;0.5031129000708461;0.5364333000034094;0.554600200150162;0.6211982001550496;0.9384075000416487;0.9384099000599235;0;1;0;0;0.016666666666666666
7;1;3;congruent;0.04;CS_#000000_172.png;0.05;0.07;fullmask_#515151.png;0.4;arrow_right.png;m;0.7482775000389665;0.7499915000516921;1669846.7528943;2.800021320581436e-06;0.49846479995176196;0.5317790999542922;0.5497272999491543;0.6165080000646412;0.9496174000669271;1.0832553999498487;0;0;0;1;0.016666666666666666
7;2;1;congruent;0.04;CS_#000000_357.png;0.05;0.07;fullmask_#515151.png;0.3;arrow_left.png;m;0.5318402999546379;0.5336217998992652;1669849.5529215;2.6999041438102722e-06;0.49566340004093945;0.5289829999674112;0.5468909998890013;0.6137049999088049;0.8470978999976069;0.9807164999656379;0;0;0;1;0.016666666666666666
7;2;2;congruent;0.04;CS_#000000_357.png;0.05;0.07;fullmask_#515151.png;0.3;arrow_left.png;m;0.3842780999839306;0.3999393000267446;1669851.2889202;2.7997884899377823e-06;0.4985288998577744;0.531854699831456;0.5500888999085873;0.6168813998810947;0.8502280998509377;1.1485007998999208;0;0;1;0;0.016666666666666666
7;2;3;congruent;0.04;CS_#000000_172.png;0.05;0.07;fullmask_#515151.png;0.3;arrow_right.png;m;0.49785879999399185;0.500667099840939;1669853.3688906;2.6999041438102722e-06;0.4932311999145895;0.5265676998533309;0.5446236999705434;0.6112996998708695;0.8446990000084043;0.9782982000615448;0;0;0;1;0.016666666666666666
7;3;1;congruent;0.04;CS_#000000_172.png;0.05;0.07;fullmask_#515151.png;0.25;arrow_right.png;m;0.2922847999725491;0.3003006000071764;1669855.6968972;2.800021320581436e-06;0.48927000002004206;0.5226009001489729;0.5410501000005752;0.6080104000866413;0.790417900076136;1.0392434000968933;0;0;1;0;0.016666666666666666
7;3;2;congruent;0.04;CS_#000000_357.png;0.05;0.07;fullmask_#515151.png;0.25;arrow_left.png;m;0.2977688000537455;0.3003197000361979;1669857.3688982;2.700136974453926e-06;0.49973280006088316;0.5330672001000494;0.5514402000699192;0.6182082002051175;0.8017279000487179;1.0497136001940817;0;0;1;0;0.016666666666666666
7;3;3;congruent;0.04;CS_#000000_172.png;0.05;0.07;fullmask_#515151.png;0.25;arrow_right.png;m;0.38370050000958145;0.38388830004259944;1669859.1209731;2.800021320581436e-06;0.4897169000469148;0.5230340000707656;0.5409759001340717;0.6077560000121593;0.791270500048995;1.1230033000465482;0;0;1;0;0.016666666666666666
7;9;1;congruent;0.04;CS_#000000_190.png;0.09;0.07;fullmask_#515151.png;0.4;arrow_right.png;m;1.6776870000176132;1.683463100111112;1669876.2808734;2.800021320581436e-06;0.4888180000707507;0.522142100147903;0.5734943000134081;0.6402519000694156;0.9733399001415819;1.1069822001736611;0;0;0;1;0.016666666666666666
7;9;2;congruent;0.04;CS_#000000_132.png;0.09;0.07;fullmask_#515151.png;0.4;arrow_left.png;m;0.6579715998377651;0.6662736998405308;1669878.1449065;2.700136974453926e-06;0.5003363001160324;0.5336539000272751;0.5856010001152754;0.6515118000097573;0.9855321999639273;1.1181699000298977;0;0;0;1;0.016666666666666666
