ParticipantNumber	Length	US	CS	Answer	CorrectVariable	computerName	timeStamp
5	230	USneg711.wav	07.png	18.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu368.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos810.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg285.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg296.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg296.wav	39.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg712.wav	18.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos816.wav	06.png	39.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg712.wav	39.png	39.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu109.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	175	USneu206.wav	MotivationCS21.png	MotivationCS01.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg279.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg278.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg285.wav	18.png	07.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USneg625.wav	18.png	31.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos172.wav	17.png	18.png	0	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos811.wav	23.png	23.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	171	USpos110.wav	06.png	06.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USpos815.wav	31.png	31.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg624.wav	19.png	19.png	1	versuchneu8	2015-06-02_12.19.08.411000
5	230	USneg285.wav	07.png	07.png	1	versuchneu8	2015-06-02_12.19.08.411000
