ParticipantNumber	Length	US	CS	Answer	CorrectVariable	computerName	timeStamp
13	175	USneu221.wav	MotivationCS01.png	MotivationCS21.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu722.wav	MotivationCS01.png	MotivationCS21.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	230	USneg625.wav	17.png	18.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg711.wav	18.png	18.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg719.wav	06.png	07.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USpos172.wav	19.png	19.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu109.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USpos811.wav	39.png	39.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu171.wav	MotivationCS21.png	MotivationCS21.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USpos816.wav	39.png	39.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USneg712.wav	23.png	23.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu270.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USpos725.wav	31.png	31.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	171	USpos809.wav	07.png	07.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	171	USpos816.wav	07.png	39.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg711.wav	06.png	23.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg712.wav	06.png	07.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg285.wav	18.png	31.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg279.wav	18.png	18.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USpos815.wav	31.png	39.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USpos820.wav	07.png	23.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu367.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	230	USneg712.wav	17.png	17.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	171	USneg285.wav	06.png	39.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	171	USpos809.wav	19.png	07.png	0	versuchneu10	2015-06-02_13.09.41.339000
13	230	USneg624.wav	23.png	23.png	1	versuchneu10	2015-06-02_13.09.41.339000
13	175	USneu206.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu10	2015-06-02_13.09.41.339000
