ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
91	151	4.962000	31.png	USpos	230	1	versuchneu3	2015-06-10_13.26.10.656000
91	71	2.418000	07.png	USneg	171	2	versuchneu3	2015-06-10_13.26.10.656000
91	109	2.050000	17.png	USpos	171	3	versuchneu3	2015-06-10_13.26.10.656000
91	58	2.067000	39.png	USneg	230	4	versuchneu3	2015-06-10_13.26.10.656000
91	69	1.933000	18.png	USpos	171	5	versuchneu3	2015-06-10_13.26.10.656000
91	46	1.883000	06.png	USneg	171	6	versuchneu3	2015-06-10_13.26.10.656000
91	46	4.251000	23.png	USneg	230	7	versuchneu3	2015-06-10_13.26.10.656000
91	130	1.634000	19.png	USpos	230	8	versuchneu3	2015-06-10_13.26.10.656000
