ParticipantNumber	Length	US	CS	Answer	CorrectVariable	computerName	timeStamp
78	230	USneg719.wav	19.png	19.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USneg712.wav	06.png	18.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu206.wav	MotivationCS01.png	19.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos817.wav	39.png	39.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg296.wav	17.png	18.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos817.wav	31.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu206.wav	MotivationCS21.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg278.wav	17.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu171.wav	MotivationCS01.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg296.wav	07.png	18.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg501.wav	07.png	39.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg719.wav	17.png	39.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos725.wav	18.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	171	USneg712.wav	17.png	18.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu367.wav	MotivationCS01.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	230	USneg279.wav	06.png	06.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos820.wav	18.png	18.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos110.wav	39.png	39.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USneg712.wav	19.png	19.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos815.wav	18.png	19.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos809.wav	23.png	23.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USneg711.wav	19.png	19.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos809.wav	39.png	39.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu109.wav	MotivationCS01.png	MotivationCS01.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos172.wav	18.png	18.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos172.wav	23.png	23.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos816.wav	18.png	18.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos110.wav	23.png	23.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu109.wav	MotivationCS21.png	06.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	175	USneu365.wav	MotivationCS01.png	MotivationCS21.png	0	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos725.wav	39.png	39.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	230	USpos817.wav	23.png	23.png	1	versuchneu5	2015-06-09_14.57.13.498000
78	171	USpos816.wav	31.png	19.png	0	versuchneu5	2015-06-09_14.57.13.498000
