ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
83	6	6.139000	31.png	USneg	230	1	versuchneu2	2015-06-09_15.37.15.196000
83	94	4.736000	23.png	USpos	230	2	versuchneu2	2015-06-09_15.37.15.196000
83	55	3.254000	19.png	USneg	171	3	versuchneu2	2015-06-09_15.37.15.196000
83	166	2.602000	18.png	USpos	230	4	versuchneu2	2015-06-09_15.37.15.196000
83	7	2.734000	06.png	USneg	171	5	versuchneu2	2015-06-09_15.37.15.196000
83	113	3.353000	07.png	USpos	171	6	versuchneu2	2015-06-09_15.37.15.196000
83	105	3.584000	17.png	USneg	230	7	versuchneu2	2015-06-09_15.37.15.196000
83	3	2.486000	39.png	USpos	171	8	versuchneu2	2015-06-09_15.37.15.196000
