ParticipantNumber	Item	Block	Reponse	ReactionTime
11	water10.jpg	1	4	6.979462
11	water7.jpg	1	6	6.239348
11	water4.jpg	1	2	2.724876
11	water15.jpg	1	5	4.203600
11	water13.jpg	1	5	4.703582
11	water0.jpg	1	1	3.163142
11	water14.jpg	1	7	3.263356
11	water9.jpg	1	7	3.118431
11	water16.jpg	1	2	1.930056
11	water2.jpg	1	1	1.508152
11	water3.jpg	1	6	4.181388
11	water5.jpg	1	2	3.085921
11	water8.jpg	1	1	2.386147
11	water6.jpg	1	1	1.421061
11	water1.jpg	1	8	2.388849
11	water12.jpg	1	7	4.121128
11	water11.jpg	1	2	1.585647
11	water1.jpg	2	n	3.009520
11	water2.jpg	2	n	1.434060
11	water3.jpg	2	n	0.712555
11	water4.jpg	2	n	1.355341
11	water5.jpg	2	n	1.260133
11	water6.jpg	2	n	1.042513
11	water7.jpg	2	n	1.238952
11	water8.jpg	2	n	0.988746
11	water9.jpg	2	n	0.689321
11	water10.jpg	2	n	0.574522
11	water11.jpg	2	n	0.652469
11	water12.jpg	2	n	0.585542
11	water13.jpg	2	n	1.287463
11	water14.jpg	2	n	2.229909
11	water15.jpg	2	n	1.214188
11	water16.jpg	2	n	1.280699
11	aero12.jpg	3	1	2.901031
11	aero10.jpg	3	1	2.201797
11	aero13.jpg	3	1	2.143032
11	aero6.jpg	3	4	3.209514
11	aero3.jpg	3	3	3.570242
11	aero5.jpg	3	2	2.944685
11	aero2.jpg	3	3	4.367013
11	aero7.jpg	3	2	3.396016
11	aero11.jpg	3	1	1.822252
11	aero14.jpg	3	3	3.733519
11	aero4.jpg	3	2	4.491252
11	aero9.jpg	3	4	3.365033
11	aero8.jpg	3	2	1.660317
11	aero1.jpg	3	4	1.810408
11	aero12.jpg	4	n	0.692919
11	aero10.jpg	4	n	0.472385
11	aero13.jpg	4	n	0.262671
11	aero6.jpg	4	n	0.395122
11	aero3.jpg	4	n	0.326557
11	aero5.jpg	4	n	0.334002
11	aero2.jpg	4	n	0.283067
11	aero7.jpg	4	n	0.490675
11	aero11.jpg	4	n	0.226549
11	aero14.jpg	4	n	0.619189
11	aero4.jpg	4	n	0.585347
11	aero9.jpg	4	n	1.026551
11	aero8.jpg	4	n	0.495693
11	aero1.jpg	4	n	1.226705
