ParticipantNumber	Item	Block	Reponse	ReactionTime
10	water4.jpg	1	4	7.981298
10	water5.jpg	1	2	7.815948
10	water9.jpg	1	3	11.145557
10	water8.jpg	1	6	5.594944
10	water12.jpg	1	2	7.304071
10	water6.jpg	1	7	14.996214
10	water1.jpg	1	2	6.334064
10	water13.jpg	1	3	2.433397
10	water11.jpg	1	2	3.874876
10	water14.jpg	1	4	4.126094
10	water0.jpg	1	9	5.576534
10	water15.jpg	1	3	2.030671
10	water10.jpg	1	4	3.324104
10	water7.jpg	1	6	4.491500
10	water16.jpg	1	4	3.910580
10	water3.jpg	1	4	2.447393
10	water2.jpg	1	3	9.794295
10	water1.jpg	2	n	3.464463
10	water2.jpg	2	n	1.299311
10	water3.jpg	2	n	0.900085
10	water4.jpg	2	n	0.883687
10	water5.jpg	2	n	0.663350
10	water6.jpg	2	n	1.254019
10	water7.jpg	2	n	0.842831
10	water8.jpg	2	n	0.635826
10	water9.jpg	2	n	0.514092
10	water10.jpg	2	n	0.410129
10	water11.jpg	2	n	0.519343
10	water12.jpg	2	n	0.371013
10	water13.jpg	2	n	0.332011
10	water14.jpg	2	n	0.395478
10	water15.jpg	2	n	0.420389
10	water16.jpg	2	n	0.287200
10	aero8.jpg	3	1	4.290658
10	aero1.jpg	3	4	1.759540
10	aero7.jpg	3	4	1.357425
10	aero3.jpg	3	3	1.627934
10	aero13.jpg	3	2	2.831992
10	aero9.jpg	3	4	2.571155
10	aero5.jpg	3	2	1.486719
10	aero14.jpg	3	2	3.335697
10	aero10.jpg	3	1	1.382014
10	aero4.jpg	3	3	1.565924
10	aero2.jpg	3	2	1.140239
10	aero12.jpg	3	2	0.881452
10	aero6.jpg	3	4	2.199056
10	aero11.jpg	3	2	1.409252
10	aero8.jpg	4	n	1.646733
10	aero1.jpg	4	n	2.604159
10	aero7.jpg	4	n	0.623391
10	aero3.jpg	4	n	0.407343
10	aero13.jpg	4	n	0.352471
10	aero9.jpg	4	n	0.405427
10	aero5.jpg	4	n	0.295641
10	aero14.jpg	4	n	0.422672
10	aero10.jpg	4	n	0.412887
10	aero4.jpg	4	n	0.319485
10	aero2.jpg	4	n	0.250875
10	aero12.jpg	4	n	0.266157
10	aero6.jpg	4	n	0.297142
10	aero11.jpg	4	n	0.340347
