subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
82,2,16,ec,5,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,7230.bmp,0.084,no,no,yes,no,no,no,no,no,yes,yes,no
82,2,17,ec,6,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9007.bmp,0.084,no,no,no,yes,no,no,no,no,yes,no,yes
82,2,18,ec,3,positive,W   A   N   S,maske_2.bmp,maske_1.bmp,8496.bmp,0.084,no,no,yes,no,no,no,no,no,yes,yes,no
82,2,19,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,8200.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,2,20,ec,5,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9830.bmp,0.084,no,no,yes,no,no,no,no,no,yes,no,yes
82,3,1,ec,4,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,1710.bmp,0.08,no,yes,no,no,no,no,no,no,yes,yes,no
82,3,2,ec,4,negative,L   O   R   B,maske_2.bmp,maske_1.bmp,2276.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,3,3,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,3,4,ec,6,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9920.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,3,5,ec,3,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,2750.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,3,6,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,2040.bmp,0.08,no,no,yes,no,no,no,no,no,yes,yes,no
82,3,7,ec,5,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,3220.bmp,0.08,no,no,yes,no,no,no,no,no,yes,no,yes
82,3,8,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2900.2.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,3,9,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,8330.bmp,0.08,no,no,no,yes,no,no,no,no,yes,yes,no
82,3,10,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,8170.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,3,11,ec,1,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,2791.bmp,0.08,no,no,no,yes,no,no,no,no,yes,yes,no
82,3,12,ec,5,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,1463.bmp,0.08,no,no,no,yes,no,no,no,no,yes,yes,no
82,3,13,ec,3,positive,W   A   N   S,maske_2.bmp,maske_1.bmp,1440.bmp,0.08,no,yes,no,no,no,no,no,no,yes,yes,no
82,3,14,ec,1,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,6311.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,3,15,ec,2,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9342.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,3,16,ec,8,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,6831.bmp,0.08,no,no,yes,no,no,no,no,no,yes,no,yes
82,3,17,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9561.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,3,18,ec,7,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,2070.bmp,0.08,no,no,no,yes,no,no,no,no,yes,yes,no
82,3,19,ec,6,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,5629.bmp,0.08,no,no,no,yes,no,no,no,no,yes,yes,no
82,3,20,ec,7,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9006.bmp,0.08,no,no,no,yes,no,no,no,no,yes,no,yes
82,4,1,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,8540.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,4,2,ec,5,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,7380.bmp,0.076,no,no,yes,no,no,no,no,no,yes,no,yes
82,4,3,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,1650.bmp,0.076,no,no,yes,no,no,no,no,no,yes,yes,no
