subjnr,adapt_part,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,VF_pos,VF_neg
105,a1,3,5,adapt,6,positive,K   V   U   T,maske_1.bmp,maske_2.bmp,2070.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,6,adapt,2,negative,T   V   Y   G,maske_1.bmp,maske_2.bmp,6020.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,7,adapt,3,positive,K   U   V   Z,maske_1.bmp,maske_2.bmp,2160.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,8,adapt,5,positive,Z   E   G   M,maske_2.bmp,maske_1.bmp,2057.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,3,9,adapt_control,2,negative,T   Y   M   X,maske_2.bmp,maske_1.bmp,9432.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,10,adapt,2,positive,T   V   Y   G,maske_2.bmp,maske_1.bmp,5629.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,11,adapt,4,negative,G   Y   V   Z,maske_1.bmp,maske_2.bmp,3550.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,3,12,adapt,6,negative,K   V   U   T,maske_2.bmp,maske_1.bmp,9331.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,13,adapt_control,1,positive,X   I   H   V,maske_1.bmp,maske_2.bmp,2550.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,14,adapt,3,negative,K   U   V   Z,maske_2.bmp,maske_1.bmp,6838.bmp,0.08,no,no,no,yes,no,no,no,yes
105,a1,3,15,adapt,5,negative,Z   E   G   M,maske_1.bmp,maske_2.bmp,6530.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,16,adapt,1,positive,G   I   T   V,maske_2.bmp,maske_1.bmp,8420.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,4,1,adapt,6,negative,K   V   U   T,maske_1.bmp,maske_2.bmp,6831.bmp,0.084,no,no,no,yes,no,no,yes,no
105,a1,4,2,adapt,3,negative,K   U   V   Z,maske_2.bmp,maske_1.bmp,6242.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,4,3,adapt,1,positive,G   I   T   V,maske_1.bmp,maske_2.bmp,8470.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,4,4,adapt,2,positive,T   V   Y   G,maske_1.bmp,maske_2.bmp,7470.bmp,0.084,no,no,no,no,yes,no,no,yes
105,a1,4,5,adapt,4,positive,G   Y   V   Z,maske_1.bmp,maske_2.bmp,2040.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,4,6,adapt_control,2,positive,T   Y   M   X,maske_1.bmp,maske_2.bmp,8190.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,4,7,adapt,5,negative,Z   E   G   M,maske_2.bmp,maske_1.bmp,9342.bmp,0.084,no,no,no,no,no,yes,yes,no
105,a1,4,8,adapt_control,1,positive,X   I   H   V,maske_1.bmp,maske_2.bmp,8501.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,4,9,adapt,5,positive,Z   E   G   M,maske_1.bmp,maske_2.bmp,2050.bmp,0.084,no,no,no,yes,no,no,no,yes
105,a1,4,10,adapt,2,negative,T   V   Y   G,maske_2.bmp,maske_1.bmp,9041.bmp,0.084,no,no,yes,no,no,no,no,yes
105,a1,4,11,adapt_control,1,negative,X   I   H   V,maske_2.bmp,maske_1.bmp,9280.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,4,12,adapt,3,positive,K   U   V   Z,maske_1.bmp,maske_2.bmp,2340.bmp,0.084,no,yes,no,no,no,no,no,yes
105,a1,4,13,adapt,4,negative,G   Y   V   Z,maske_2.bmp,maske_1.bmp,3300.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,4,14,adapt,1,negative,G   I   T   V,maske_2.bmp,maske_1.bmp,2141.bmp,0.084,no,no,yes,no,no,no,no,yes
105,a1,4,15,adapt_control,2,negative,T   Y   M   X,maske_2.bmp,maske_1.bmp,9560.bmp,0.5,no,no,no,no,no,yes,yes,no
