subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
85,1,1,ec,5,negative,C   L   E   K,maske_2.bmp,maske_1.bmp,9500.bmp,0.097,M   E   C   H,G   U   N   T,C   L   E   K,D   U   T   Z,no,no,yes,no,no,yes
85,1,2,ec,1,positive,G   U   N   D,maske_1.bmp,maske_2.bmp,4606.bmp,0.097,K   E   C   H,M   E   H   K,G   U   N   T,G   U   N   D,no,yes,no,no,yes,no
85,1,3,ec,8,positive,G   U   N   T,maske_2.bmp,maske_1.bmp,4622.bmp,0.097,G   U   N   T,Z   U   N   T,H   E   M   K,C   L   E   K,yes,no,no,no,yes,no
85,1,4,ec,8,negative,M   E   C   H,maske_1.bmp,maske_2.bmp,9342.bmp,0.097,Z   U   N   D,C   E   L   K,Z   U   N   T,M   E   C   H,no,no,no,yes,no,yes
85,1,5,ec,5,positive,D   U   T   Z,maske_1.bmp,maske_2.bmp,5594.bmp,0.097,D   N   U   G,C   E   L   M,C   L   E   M,D   U   T   Z,yes,no,no,no,yes,no
85,1,6,ec_control,2,positive,F   R   I   B,maske_2.bmp,maske_1.bmp,2209.bmp,0.5,F   R   I   B,V   A   S   P,P   Y   W   S,J   O   R   F,yes,no,no,no,no,yes
85,1,7,ec_control,1,negative,V   A   S   P,maske_2.bmp,maske_1.bmp,6530.bmp,0.5,P   Y   W   S,J   O   R   F,V   A   S   P,F   R   I   B,no,no,yes,no,no,yes
85,1,8,ec,2,positive,Z   U   D   T,maske_2.bmp,maske_1.bmp,2091.bmp,0.097,C   E   L   K,Z   U   D   T,C   E   L   M,D   U   N   T,no,yes,no,no,yes,no
85,1,9,ec,3,negative,H   E   M   K,maske_1.bmp,maske_2.bmp,7380.bmp,0.097,G   U   N   D,D   U   T   Z,H   E   M   K,C   L   E   M,yes,no,no,no,no,yes
85,1,10,ec,4,negative,C   E   L   K,maske_1.bmp,maske_2.bmp,2053.bmp,0.097,Z   U   N   T,C   E   L   M,D   U   N   T,C   E   L   K,yes,no,no,no,no,yes
85,1,11,ec,6,positive,D   U   N   T,maske_2.bmp,maske_1.bmp,2660.bmp,0.097,G   U   N   D,H   E   M   K,D   U   N   T,K   E   C   H,no,no,yes,no,yes,no
85,1,12,ec,1,negative,K   E   C   H,maske_1.bmp,maske_2.bmp,9330.bmp,0.097,Z   U   D   T,D   N   U   G,M   E   H   K,K   E   C   H,no,no,no,yes,no,yes
85,1,13,ec,3,positive,Z   U   N   D,maske_1.bmp,maske_2.bmp,7330.bmp,0.097,M   E   C   H,C   L   E   M,Z   U   D   T,Z   U   N   D,yes,no,no,no,no,yes
85,1,14,ec,6,negative,M   E   H   K,maske_1.bmp,maske_2.bmp,9050.bmp,0.097,Z   U   D   T,M   E   H   K,H   E   M   K,G   U   N   D,no,yes,no,no,no,yes
85,1,15,ec,4,positive,Z   U   N   T,maske_1.bmp,maske_2.bmp,8200.bmp,0.097,C   E   L   K,Z   U   N   D,Z   U   N   T,M   E   H   K,no,no,yes,no,yes,no
85,1,16,ec_control,1,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,8190.bmp,0.5,J   O   R   F,F   R   I   B,P   Y   W   S,V   A   S   P,yes,no,no,no,yes,no
85,1,17,ec_control,2,negative,P   Y   W   S,maske_1.bmp,maske_2.bmp,9041.bmp,0.5,F   R   I   B,J   O   R   F,P   Y   W   S,V   A   S   P,no,no,yes,no,no,yes
85,1,18,ec,2,negative,C   E   L   M,maske_2.bmp,maske_1.bmp,2141.bmp,0.097,K   E   C   H,G   U   N   T,D   N   U   G,C   E   L   M,no,no,no,yes,no,yes
85,1,19,ec,7,negative,C   L   E   M,maske_2.bmp,maske_1.bmp,9520.bmp,0.097,Z   U   N   D,C   L   E   K,C   L   E   M,D   U   N   T,no,yes,no,no,no,yes
