subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
47,1,1,ec,1,negative,D   U   N   T,maske_1.bmp,maske_2.bmp,2750.bmp,0.074,T   U   G   Z,H   E   M   K,K   E   L   M,D   U   N   T,no,yes,no,no,no,yes
47,1,2,ec,3,positive,K   L   E   M,maske_2.bmp,maske_1.bmp,5594.bmp,0.074,M   E   C   H,T   U   N   G,D   U   T   Z,K   L   E   M,no,no,no,yes,yes,no
47,1,3,ec,5,positive,K   E   H   M,maske_1.bmp,maske_2.bmp,2040.bmp,0.074,K   E   H   M,K   E   L   M,T   U   G   Z,D   U   N   T,no,no,yes,no,yes,no
47,1,4,ec,4,positive,K   E   C   H,maske_1.bmp,maske_2.bmp,2058.bmp,0.074,K   E   C   H,G   N   U   D,Z   U   N   T,C   H   E   K,yes,no,no,no,yes,no
47,1,5,ec,1,positive,K   E   L   M,maske_1.bmp,maske_2.bmp,8540.bmp,0.074,D   U   G   T,C   H   E   L,G   N   U   D,K   E   L   M,no,yes,no,no,yes,no
47,1,6,ec,6,negative,T   U   N   G,maske_1.bmp,maske_2.bmp,9435.bmp,0.074,C   H   E   K,T   N   U   D,T   U   N   G,M   E   C   H,no,no,yes,no,no,yes
47,1,7,ec,7,negative,T   U   G   Z,maske_2.bmp,maske_1.bmp,9421.bmp,0.074,T   U   N   G,K   E   C   H,T   U   G   Z,K   L   E   M,no,no,no,yes,no,yes
47,1,8,ec,7,positive,C   H   E   L,maske_2.bmp,maske_1.bmp,8190.bmp,0.074,D   U   T   Z,H   E   M   K,C   H   E   L,T   U   G   Z,no,yes,no,no,yes,no
47,1,9,ec_control,2,negative,P   Y   W   S,maske_2.bmp,maske_1.bmp,9220.bmp,0.5,V   A   S   P,F   R   I   B,J   O   R   F,P   Y   W   S,no,no,no,yes,no,yes
47,1,10,ec,4,negative,T   N   U   D,maske_2.bmp,maske_1.bmp,6838.bmp,0.074,T   N   U   D,C   H   E   L,K   E   L   M,D   U   N   T,yes,no,no,no,no,yes
47,1,11,ec,8,positive,C   H   E   K,maske_2.bmp,maske_1.bmp,2209.bmp,0.074,T   N   U   D,Z   U   N   T,C   H   E   K,K   L   E   M,no,no,no,yes,yes,no
47,1,12,ec,2,negative,Z   U   N   T,maske_1.bmp,maske_2.bmp,6831.bmp,0.074,K   E   H   M,H   E   M   K,D   U   G   T,Z   U   N   T,no,yes,no,no,no,yes
47,1,13,ec_control,2,positive,F   R   I   B,maske_2.bmp,maske_1.bmp,7502.bmp,0.5,F   R   I   B,J   O   R   F,V   A   S   P,P   Y   W   S,yes,no,no,no,yes,no
