subjnr,adapt_part,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,VF_pos,VF_neg
56,a1,1,1,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,1710.bmp,0.08,yes,no,no,no,no,no,yes,no
56,a1,1,2,adapt_control,2,positive,F   R   Y   P,maske_2.bmp,maske_1.bmp,8170.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,1,3,adapt,6,positive,R   I   W   S,maske_2.bmp,maske_1.bmp,2058.bmp,0.08,no,no,yes,no,no,no,yes,no
56,a1,1,4,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,6530.bmp,0.08,no,yes,no,no,no,no,no,yes
56,a1,1,5,adapt,2,negative,S   Y   B   F,maske_2.bmp,maske_1.bmp,6020.bmp,0.08,no,yes,no,no,no,no,no,yes
56,a1,1,6,adapt,1,positive,B   J   A   V,maske_2.bmp,maske_1.bmp,8370.bmp,0.08,no,yes,no,no,no,no,yes,no
56,a1,1,7,adapt,4,positive,S   P   I   B,maske_1.bmp,maske_2.bmp,2311.bmp,0.08,yes,no,no,no,no,no,yes,no
56,a1,1,8,adapt_control,1,positive,F   O   P   V,maske_2.bmp,maske_1.bmp,5830.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,1,9,adapt,4,negative,S   P   I   B,maske_2.bmp,maske_1.bmp,2710.bmp,0.08,no,yes,no,no,no,no,yes,no
56,a1,1,10,adapt_control,1,negative,F   O   P   V,maske_1.bmp,maske_2.bmp,9920.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,1,11,adapt,1,negative,B   J   A   V,maske_1.bmp,maske_2.bmp,9041.bmp,0.08,no,no,no,yes,no,no,yes,no
56,a1,1,12,adapt,2,positive,S   Y   B   F,maske_1.bmp,maske_2.bmp,4220.bmp,0.08,no,no,yes,no,no,no,yes,no
56,a1,1,13,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,7380.bmp,0.08,no,no,yes,no,no,no,no,yes
56,a1,1,14,adapt,6,negative,R   I   W   S,maske_1.bmp,maske_2.bmp,6311.bmp,0.08,no,yes,no,no,no,no,yes,no
56,a1,1,15,adapt_control,2,negative,F   R   Y   P,maske_1.bmp,maske_2.bmp,2141.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,1,16,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,8501.bmp,0.08,no,no,yes,no,no,no,yes,no
56,a1,2,1,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,9180.bmp,0.5,no,no,no,no,yes,no,no,yes
56,a1,2,2,adapt_control,2,positive,F   R   Y   P,maske_1.bmp,maske_2.bmp,7470.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,2,3,adapt,5,positive,P   A   B   F,maske_2.bmp,maske_1.bmp,5629.bmp,0.084,no,no,yes,no,no,no,yes,no
56,a1,2,4,adapt,6,positive,R   I   W   S,maske_1.bmp,maske_2.bmp,5831.bmp,0.084,no,no,yes,no,no,no,yes,no
56,a1,2,5,adapt,1,negative,B   J   A   V,maske_2.bmp,maske_1.bmp,3160.bmp,0.084,no,yes,no,no,no,no,no,yes
56,a1,2,6,adapt,4,negative,S   P   I   B,maske_1.bmp,maske_2.bmp,9280.bmp,0.084,no,no,yes,no,no,no,no,yes
56,a1,2,7,adapt,2,negative,S   Y   B   F,maske_1.bmp,maske_2.bmp,9421.bmp,0.084,no,yes,no,no,no,no,no,yes
56,a1,2,8,adapt,3,negative,B   O   V   S,maske_1.bmp,maske_2.bmp,9000.bmp,0.084,no,yes,no,no,no,no,no,yes
56,a1,2,9,adapt,6,negative,R   I   W   S,maske_2.bmp,maske_1.bmp,9342.bmp,0.084,no,yes,no,no,no,no,no,yes
56,a1,2,10,adapt_control,1,positive,F   O   P   V,maske_1.bmp,maske_2.bmp,2080.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,2,11,adapt,2,positive,S   Y   B   F,maske_2.bmp,maske_1.bmp,5594.bmp,0.084,no,no,yes,no,no,no,yes,no
56,a1,2,12,adapt,3,positive,B   O   V   S,maske_2.bmp,maske_1.bmp,8496.bmp,0.084,no,yes,no,no,no,no,yes,no
56,a1,2,13,adapt,4,positive,S   P   I   B,maske_2.bmp,maske_1.bmp,2550.bmp,0.084,no,yes,no,no,no,no,yes,no
56,a1,2,14,adapt,5,negative,P   A   B   F,maske_1.bmp,maske_2.bmp,3550.bmp,0.084,no,yes,no,no,no,no,no,yes
56,a1,2,15,adapt_control,2,negative,F   R   Y   P,maske_2.bmp,maske_1.bmp,9050.bmp,0.5,no,no,no,no,no,yes,no,yes
56,a1,2,16,adapt,1,positive,B   J   A   V,maske_1.bmp,maske_2.bmp,4622.bmp,0.084,no,no,yes,no,no,no,yes,no
56,a1,3,1,adapt,1,negative,B   J   A   V,maske_2.bmp,maske_1.bmp,9182.bmp,0.088,no,yes,no,no,no,no,no,yes
56,a1,3,2,adapt_control,2,positive,F   R   Y   P,maske_1.bmp,maske_2.bmp,7330.bmp,0.5,no,no,no,no,no,yes,yes,no
56,a1,3,3,adapt_control,1,negative,F   O   P   V,maske_2.bmp,maske_1.bmp,9435.bmp,0.5,no,no,no,no,no,yes,no,yes
